Time,"Minimum"
0.01,0.0040024
0.02,0.0036953
0.11,0.0031488
1.01,0.0030353
1.02,0.0029891
1.03,0.0029579
1.04,0.0028623
1.05,0.0028285
1.06,0.0028795
1.07,0.0028608
1.08,0.0028477
1.09,0.002835
1.1,0.0028114
0.12,0.0032737
1.11,0.0027799
1.12,0.0027534
1.13,0.002729
1.14,0.0027085
1.15,0.0026918
1.16,0.0026758
1.17,0.0026634
1.18,0.0026534
1.19,0.0026439
1.2,0.0026348
0.13,0.0034051
1.21,0.0026267
1.22,0.0026178
1.23,0.0026025
1.24,0.002577
1.25,0.0025503
1.26,0.0025241
1.27,0.0025116
0.14,0.0032547
0.15,0.0031651
0.16,0.0031157
0.17,0.0031181
0.18,0.0031637
0.19,0.0032473
0.2,0.0033628
0.03,0.0034067
0.21,0.0034585
0.22,0.0034918
0.23,0.0035299
0.24,0.0035619
0.25,0.0035773
0.26,0.0035924
0.27,0.003603
0.28,0.0036149
0.29,0.0036257
0.3,0.0036387
0.04,0.0031047
0.31,0.0036512
0.32,0.0036668
0.33,0.003679
0.34,0.0036929
0.35,0.0037071
0.36,0.0037152
0.37,0.0037238
0.38,0.0037221
0.39,0.0037208
0.4,0.0037198
0.05,0.0029245
0.41,0.0037189
0.42,0.003718
0.43,0.0037171
0.44,0.0037159
0.45,0.0037143
0.46,0.0037122
0.47,0.0037096
0.48,0.0037064
0.49,0.0037024
0.5,0.0036967
0.06,0.0028402
0.51,0.0036879
0.52,0.0036785
0.53,0.0036688
0.54,0.003659
0.55,0.0036492
0.56,0.0036396
0.57,0.0036303
0.58,0.0036215
0.59,0.0036132
0.6,0.0036055
0.07,0.0028327
0.61,0.0035983
0.62,0.0035917
0.63,0.0035854
0.64,0.0035794
0.65,0.0035736
0.66,0.0035678
0.67,0.0035536
0.68,0.0035415
0.69,0.0035327
0.7,0.0035274
0.08,0.0028822
0.71,0.0035253
0.72,0.0035188
0.73,0.0035087
0.74,0.0034981
0.75,0.003487
0.76,0.0034753
0.77,0.0034543
0.78,0.0034216
0.79,0.0033777
0.8,0.0033176
0.09,0.0029668
0.81,0.0032461
0.82,0.0032118
0.83,0.0031925
0.84,0.0031491
0.85,0.0031281
0.86,0.0031105
0.87,0.0030985
0.88,0.0030954
0.89,0.003096
0.9,0.0030932
0.1,0.003047
0.91,0.0030912
0.92,0.003095
0.93,0.0030983
0.94,0.0031008
0.95,0.003106
0.96,0.0031149
0.97,0.0031077
0.98,0.0030933
0.99,0.0030741
1,0.0030518
