Time,"Minimum"
0.01,0.0040168
0.02,0.0039191
0.11,0.0036997
0.12,0.0036872
0.13,0.0036966
0.14,0.0036598
0.15,0.0034707
0.16,0.0034078
0.17,0.0034657
0.18,0.0035503
0.19,0.0036022
0.2,0.0036403
0.03,0.0038536
0.21,0.0036613
0.22,0.0036668
0.23,0.0036885
0.24,0.0037185
0.25,0.003727
0.26,0.0037462
0.27,0.0037714
0.28,0.0037983
0.29,0.0038262
0.3,0.0038537
0.04,0.0038019
0.31,0.0038747
0.32,0.0038884
0.33,0.0039023
0.34,0.0039155
0.35,0.003926
0.36,0.0039357
0.37,0.0039444
0.38,0.0039429
0.39,0.0039412
0.4,0.0039406
0.05,0.0037624
0.41,0.0039406
0.42,0.0039403
0.43,0.0039401
0.44,0.0039407
0.45,0.0039419
0.46,0.0039436
0.47,0.0039451
0.48,0.0039461
0.49,0.0039473
0.5,0.0039491
0.06,0.0037257
0.51,0.003951
0.52,0.0039516
0.53,0.0039524
0.54,0.0039533
0.55,0.0039541
0.56,0.0039549
0.57,0.0039547
0.58,0.0039544
0.59,0.003954
0.6,0.0039538
0.07,0.0036996
0.61,0.0039536
0.62,0.0039534
0.63,0.0039533
0.64,0.0039531
0.65,0.003953
0.66,0.0039529
0.67,0.0039528
0.68,0.0039528
0.69,0.0039527
0.7,0.0039527
0.08,0.0036882
0.71,0.0039527
0.72,0.0039528
0.73,0.0039529
0.74,0.003953
0.75,0.0039532
0.76,0.0039533
0.77,0.0039535
0.78,0.0039538
0.79,0.0039541
0.8,0.0039545
0.09,0.0036879
0.81,0.0039549
0.82,0.0039553
0.83,0.0039556
0.84,0.003956
0.85,0.0039563
0.86,0.003956
0.87,0.0039557
0.88,0.0039553
0.89,0.003955
0.9,0.0039546
0.1,0.0036943
0.91,0.0039543
0.92,0.003954
0.93,0.0039537
0.94,0.0039535
0.95,0.0039534
0.96,0.0039533
0.97,0.0039533
0.98,0.0039533
0.99,0.0039533
1,0.0039533
