"solidJ0:0","solidJ0:1","solidJ0:2","Points:0","Points:1","Points:2"
0.77403641,0,-317.76227,0,-0.077,-0.001
0.77481079,91.861046,-319.35892,0,-0.076749995,-0.001
0.77817243,281.51349,-324.39032,0,-0.076250002,-0.001
0.77817243,281.51349,-324.39032,0,-0.076250002,-0.001
0.78545481,483.04205,-326.914,0,-0.075749993,-0.001
0.78545481,483.04205,-326.914,0,-0.075749993,-0.001
0.79965305,700.73035,-292.07642,0,-0.07525,-0.001
0.79965305,700.73035,-292.07642,0,-0.07525,-0.001
0.82760251,919.8327,-190.59993,0,-0.07441406,-0.001
0.82760251,919.8327,-190.59993,0,-0.07441406,-0.001
0.86992931,1086.3405,-77.816772,0,-0.073242188,-0.001
0.86992931,1086.3405,-77.816772,0,-0.073242188,-0.001
0.9179495,1178.2517,-20.764448,0,-0.072070315,-0.001
0.9179495,1178.2517,-20.764448,0,-0.072070315,-0.001
0.96625328,1233.6001,-4.2786379,0,-0.070898436,-0.001
0.96625328,1233.6001,-4.2786379,0,-0.070898436,-0.001
1.0145903,1279.6892,3.5286367,0,-0.069726564,-0.001
1.0145903,1279.6892,3.5286367,0,-0.069726564,-0.001
1.0629417,1319.0143,9.4524202,0,-0.068554685,-0.001
1.0629417,1319.0143,9.4524202,0,-0.068554685,-0.001
1.1112928,1351.9202,14.911413,0,-0.067382812,-0.001
1.1112928,1351.9202,14.911413,0,-0.067382812,-0.001
1.1596078,1378.5273,20.208109,0,-0.06621094,-0.001
1.1596078,1378.5273,20.208109,0,-0.06621094,-0.001
1.2078314,1398.9167,25.409367,0,-0.065039061,-0.001
1.2078314,1398.9167,25.409367,0,-0.065039061,-0.001
1.2559118,1413.1575,30.529255,0,-0.063867189,-0.001
1.2559118,1413.1575,30.529255,0,-0.063867189,-0.001
1.3038226,1421.3159,35.568386,0,-0.06269531,-0.001
1.3038226,1421.3159,35.568386,0,-0.06269531,-0.001
1.3515511,1423.4585,40.522881,0,-0.061523438,-0.001
1.3515511,1423.4585,40.522881,0,-0.061523438,-0.001
1.3990649,1419.6537,45.387047,0,-0.060351565,-0.001
1.3990649,1419.6537,45.387047,0,-0.060351565,-0.001
1.4463035,1409.9719,50.154247,0,-0.059179686,-0.001
1.4463035,1409.9719,50.154247,0,-0.059179686,-0.001
1.4931983,1394.4877,54.817432,0,-0.058007814,-0.001
1.4931983,1394.4877,54.817432,0,-0.058007814,-0.001
1.5397083,1373.2775,59.36972,0,-0.056835935,-0.001
1.5397083,1373.2775,59.36972,0,-0.056835935,-0.001
1.5858259,1346.4209,63.80455,0,-0.055664062,-0.001
