"Time","avg(E)","max(E)"
0.15048,2.6293e-07,7.7872e-06
0.30744,4.4178e-07,2.2031e-06
0.4514,9.7779e-07,3.3285e-05
0.61185,1.1149e-06,5.7785e-06
0.75691,1.9839e-06,2.5308e-05
0.89136,2.5624e-06,3.5948e-05
1.0549,2.2158e-06,8.0232e-06
1.2125,2.5961e-06,6.4022e-06
1.3586,2.9738e-06,1.1838e-05
1.5159,3.3286e-06,7.1531e-06
1.6776,3.5274e-06,8.8776e-06
1.8457,3.9837e-06,9.1056e-06
2.0048,4.4991e-06,1.1444e-05
2.1688,4.7867e-06,1.1027e-05
2.2954,5.0029e-06,1.205e-05
2.4583,5.3579e-06,1.2723e-05
2.6186,6.7359e-06,3.1864e-05
2.7695,5.8715e-06,1.464e-05
2.9182,6.2289e-06,1.5335e-05
3.0511,6.5324e-06,1.6012e-05
3.2022,7.0345e-06,1.6916e-05
3.357,7.2774e-06,1.7936e-05
3.4871,7.7032e-06,1.8768e-05
3.634,8.2256e-06,1.9628e-05
3.7811,8.3722e-06,2.0207e-05
3.931,8.6958e-06,2.1192e-05
4.0624,8.9423e-06,2.1828e-05
4.2154,9.1872e-06,2.2757e-05
4.3683,9.4486e-06,2.3559e-05
4.5256,9.7825e-06,2.4486e-05
4.6829,1.0445e-05,2.517e-05
4.831,1.0266e-05,2.5857e-05
5.0033,1.0778e-05,2.6994e-05
5.1442,1.0946e-05,2.759e-05
5.2925,1.1058e-05,2.824e-05
5.4371,1.1681e-05,2.9322e-05
5.584,1.1941e-05,2.9615e-05
5.7283,1.2248e-05,3.067e-05
5.901,1.2399e-05,3.0959e-05
6.0555,1.2821e-05,3.2115e-05
6.1959,1.3212e-05,3.2559e-05
6.3354,1.3469e-05,3.3543e-05
6.5063,1.3573e-05,3.3795e-05
6.6728,1.386e-05,3.451e-05
6.8051,1.4305e-05,3.5532e-05
6.9714,1.4516e-05,3.5837e-05
7.1237,1.4732e-05,3.6549e-05
7.2725,1.5051e-05,3.7136e-05
7.4382,1.5594e-05,3.8356e-05
7.603,1.5836e-05,3.8753e-05
7.7333,1.5821e-05,3.9005e-05
7.8894,1.6252e-05,4.0041e-05
8.0287,1.637e-05,4.0163e-05
8.1706,1.6741e-05,4.0703e-05
8.3252,1.758e-05,4.905e-05
8.4736,1.7117e-05,4.1846e-05
8.6295,1.7385e-05,4.1706e-05
8.7852,1.7498e-05,4.2584e-05
8.9264,1.7773e-05,4.3085e-05
9.0705,1.8022e-05,4.3862e-05
9.2198,1.8503e-05,4.4386e-05
9.3595,1.8492e-05,4.4822e-05
9.5038,1.901e-05,4.5044e-05
9.6597,1.8947e-05,4.504e-05
9.8372,2.0432e-05,5.6608e-05
9.9886,1.948e-05,4.6593e-05
