Time,"Points:0","Points:1","Points:2","h","p","pd"
9.9886,0,0.08,0.029972,2.8432e-05,-773.06,1035.5
9.9886,0,0.08003,0.029972,2.8382e-05,-773.07,1035.5
9.9886,0,0.083539,0.029977,2.2654e-05,-773.27,1029.2
9.9886,0,0.086452,0.029979,2.1334e-05,-773.29,1027.8
9.9886,0,0.086499,0.029979,2.1313e-05,-773.29,1027.8
9.9886,0,0.088925,0.029982,1.7524e-05,-773.45,1023.6
9.9886,0,0.088975,0.029983,1.7448e-05,-773.46,1023.6
9.9886,0,0.091013,0.029978,2.1883e-05,-773.3,1028.4
9.9886,0,0.091044,0.029978,2.1946e-05,-773.3,1028.5
9.9886,0,0.092748,0.029979,2.141e-05,-773.36,1027.8
9.9886,0,0.092775,0.029979,2.1401e-05,-773.36,1027.8
9.9886,0,0.094207,0.029974,2.615e-05,-773.33,1032.9
9.9886,0,0.094223,0.029974,2.6162e-05,-773.33,1032.9
9.9886,0,0.095424,0.029971,2.8965e-05,-773.54,1035.6
9.9886,0,0.095433,0.029971,2.897e-05,-773.54,1035.6
9.9886,0,0.096429,0.029979,2.0698e-05,-774.05,1026.4
9.9886,0,0.096446,0.029979,2.0629e-05,-774.05,1026.3
9.9886,0,0.09728,0.029977,2.3107e-05,-772.93,1030.1
9.9886,0,0.097292,0.029977,2.307e-05,-772.94,1030
9.9886,0,0.097988,0.02998,1.9959e-05,-772.06,1027.6
9.9886,0,0.098,0.02998,1.9775e-05,-772.08,1027.4
9.9886,0,-0.098,0.030039,-3.9495e-05,-776.14,960.79
9.9886,0,-0.097323,0.030005,-4.5833e-06,-774.65,999.12
9.9886,0,-0.097292,0.030003,-3.0578e-06,-774.58,1000.8
9.9886,0,-0.09647,0.029991,9.1407e-06,-774.18,1014.1
9.9886,0,-0.096446,0.029991,9.4964e-06,-774.17,1014.5
9.9886,0,-0.095464,0.029992,7.7511e-06,-774.23,1012.6
9.9886,0,-0.095433,0.029992,7.7325e-06,-774.23,1012.5
9.9886,0,-0.094251,0.029986,1.4326e-05,-773.73,1020
9.9886,0,-0.094223,0.029986,1.4488e-05,-773.73,1020.2
9.9886,0,-0.092812,0.029988,1.2335e-05,-773.67,1017.9
9.9886,0,-0.092775,0.029988,1.2279e-05,-773.68,1017.9
9.9886,0,-0.091078,0.029982,1.789e-05,-773.39,1024.1
9.9886,0,-0.091044,0.029982,1.8003e-05,-773.39,1024.2
9.9886,0,-0.089016,0.029983,1.734e-05,-773.44,1023.5
9.9886,0,-0.088975,0.029983,1.7325e-05,-773.43,1023.5
9.9886,0,-0.086535,0.029977,2.2898e-05,-773.22,1029.5
9.9886,0,-0.086499,0.029977,2.2978e-05,-773.21,1029.6
9.9886,0,-0.083573,0.029974,2.5873e-05,-773.14,1032.8
9.9886,0,-0.083539,0.029974,2.5906e-05,-773.14,1032.8
9.9886,0,-0.080019,0.029969,3.1349e-05,-772.93,1038.8
9.9886,0,-0.08,0.029969,3.1379e-05,-772.93,1038.8
9.9886,0,-0.063009,0.029964,3.6479e-05,-772.78,1044.3
9.9886,0,-0.06,0.029961,3.8958e-05,-772.62,1046.8
9.9886,0,-0.05999,0.029961,3.8965e-05,-772.62,1046.8
9.9886,0,-0.056,0.029958,4.2182e-05,-772.42,1050
9.9886,0,-0.055978,0.029958,4.2201e-05,-772.42,1050
9.9886,0,-0.052,0.029955,4.55e-05,-772.22,1053.3
9.9886,0,-0.051965,0.029954,4.5526e-05,-772.22,1053.3
9.9886,0,-0.048,0.029952,4.8476e-05,-772.04,1056.2
9.9886,0,-0.047953,0.029951,4.8506e-05,-772.04,1056.3
9.9886,0,-0.044,0.029949,5.1005e-05,-771.89,1058.7
9.9886,0,-0.043944,0.029949,5.1035e-05,-771.89,1058.8
9.9886,0,-0.04,0.029947,5.3075e-05,-771.77,1060.8
9.9886,0,-0.039936,0.029947,5.3105e-05,-771.77,1060.8
9.9886,0,-0.036,0.029945,5.4852e-05,-771.67,1062.5
9.9886,0,-0.035929,0.029945,5.4882e-05,-771.67,1062.6
9.9886,0,-0.032,0.029943,5.653e-05,-771.58,1064.2
9.9886,0,-0.031922,0.029943,5.6562e-05,-771.58,1064.2
9.9886,0,-0.028,0.029942,5.821e-05,-771.48,1065.8
9.9886,0,-0.027916,0.029942,5.8246e-05,-771.48,1065.9
9.9886,0,-0.024,0.02994,5.9903e-05,-771.38,1067.5
9.9886,0,-0.023909,0.02994,5.9941e-05,-771.38,1067.6
9.9886,0,-0.02,0.029938,6.1559e-05,-771.28,1069.2
9.9886,0,-0.019903,0.029938,6.1596e-05,-771.28,1069.2
9.9886,0,-0.016,0.029937,6.3087e-05,-771.18,1070.7
9.9886,0,-0.015897,0.029937,6.312e-05,-771.18,1070.7
9.9886,0,-0.012,0.029936,6.4398e-05,-771.1,1072
9.9886,0,-0.011892,0.029936,6.4424e-05,-771.1,1072
9.9886,0,-0.008,0.029935,6.5391e-05,-771.04,1073
9.9886,0,-0.007888,0.029935,6.5407e-05,-771.04,1073
9.9886,0,-0.004,0.029934,6.5964e-05,-771,1073.5
9.9886,0,-0.0038859,0.029934,6.5966e-05,-771,1073.5
9.9886,0,0,0.029934,6.6037e-05,-771,1073.6
9.9886,0,0.00011435,0.029934,6.6024e-05,-771,1073.6
9.9886,0,0.004,0.029934,6.5583e-05,-771.03,1073.2
9.9886,0,0.0041125,0.029934,6.5556e-05,-771.03,1073.1
9.9886,0,0.008,0.029935,6.464e-05,-771.1,1072.2
9.9886,0,0.0081089,0.029935,6.4603e-05,-771.1,1072.2
9.9886,0,0.012,0.029937,6.3293e-05,-771.19,1070.9
9.9886,0,0.012104,0.029937,6.3251e-05,-771.19,1070.8
9.9886,0,0.016,0.029938,6.1643e-05,-771.3,1069.2
9.9886,0,0.016097,0.029938,6.1598e-05,-771.3,1069.2
9.9886,0,0.02,0.02994,5.9801e-05,-771.42,1067.4
9.9886,0,0.02009,0.02994,5.9758e-05,-771.42,1067.3
9.9886,0,0.024,0.029942,5.7856e-05,-771.55,1065.4
9.9886,0,0.024083,0.029942,5.7815e-05,-771.55,1065.4
9.9886,0,0.028,0.029944,5.5887e-05,-771.67,1063.5
9.9886,0,0.028075,0.029944,5.585e-05,-771.68,1063.5
9.9886,0,0.032,0.029946,5.3917e-05,-771.8,1061.5
9.9886,0,-0.079979,0.029969,3.1388e-05,-772.93,1038.8
9.9886,0,-0.076,0.029967,3.3344e-05,-772.85,1040.9
9.9886,0,-0.07201,0.029966,3.4005e-05,-772.83,1041.7
9.9886,0,-0.072,0.029966,3.4007e-05,-772.83,1041.7
9.9886,0,-0.06801,0.029966,3.4089e-05,-772.83,1041.7
9.9886,0,-0.068,0.029966,3.4089e-05,-772.83,1041.7
9.9886,0,-0.064003,0.029964,3.5728e-05,-772.8,1043.5
9.9886,0,-0.064,0.029964,3.5728e-05,-772.8,1043.5
9.9886,0,0.060737,0.029964,3.6479e-05,-772.86,1044.2
9.9886,0,0.06399,0.029966,3.4042e-05,-772.93,1041.6
9.9886,0,0.064,0.029966,3.4037e-05,-772.93,1041.6
9.9886,0,0.067983,0.029968,3.24e-05,-772.96,1039.8
9.9886,0,0.068,0.029968,3.2394e-05,-772.96,1039.8
9.9886,0,0.07198,0.029968,3.1798e-05,-772.97,1039.2
9.9886,0,0.072,0.029968,3.1796e-05,-772.97,1039.2
9.9886,0,0.075976,0.029969,3.0732e-05,-773,1038
9.9886,0,0.076,0.029969,3.0725e-05,-773,1038
9.9886,0,0.079966,0.029972,2.8451e-05,-773.06,1035.6
9.9886,0,0.032067,0.029946,5.3883e-05,-771.8,1061.5
9.9886,0,0.036,0.029948,5.1948e-05,-771.92,1059.6
9.9886,0,0.03606,0.029948,5.1918e-05,-771.92,1059.5
9.9886,0,0.04,0.02995,4.9905e-05,-772.04,1057.6
9.9886,0,0.040052,0.02995,4.9879e-05,-772.04,1057.5
