"solidJ0:0","solidJ0:1","solidJ0:2","Points:0","Points:1","Points:2"
99.095367,0,678.24677,0,-0.077,-0.001
99.088951,-180.65216,680.9538,0,-0.076749995,-0.001
99.062492,-550.39563,688.55853,0,-0.076250002,-0.001
99.062492,-550.39563,688.55853,0,-0.076250002,-0.001
99.007607,-938.57416,687.51141,0,-0.075749993,-0.001
99.007607,-938.57416,687.51141,0,-0.075749993,-0.001
98.903473,-1351.4944,604.53632,0,-0.07525,-0.001
98.903473,-1351.4944,604.53632,0,-0.07525,-0.001
98.702065,-1752.5914,387.07898,0,-0.07441406,-0.001
98.702065,-1752.5914,387.07898,0,-0.07441406,-0.001
98.403595,-2040.2144,160.71848,0,-0.073242188,-0.001
98.403595,-2040.2144,160.71848,0,-0.073242188,-0.001
98.075516,-2188.7117,58.242844,0,-0.072070315,-0.001
98.075516,-2188.7117,58.242844,0,-0.072070315,-0.001
97.758621,-2284.0132,40.00211,0,-0.070898436,-0.001
97.758621,-2284.0132,40.00211,0,-0.070898436,-0.001
97.455017,-2382.0708,39.734573,0,-0.069726564,-0.001
97.455017,-2382.0708,39.734573,0,-0.069726564,-0.001
97.165138,-2488.0974,43.282513,0,-0.068554685,-0.001
97.165138,-2488.0974,43.282513,0,-0.068554685,-0.001
96.889198,-2602.8428,47.668793,0,-0.067382812,-0.001
96.889198,-2602.8428,47.668793,0,-0.067382812,-0.001
96.627319,-2726.5747,52.240669,0,-0.06621094,-0.001
96.627319,-2726.5747,52.240669,0,-0.06621094,-0.001
96.379578,-2859.4683,56.836105,0,-0.065039061,-0.001
96.379578,-2859.4683,56.836105,0,-0.065039061,-0.001
96.145943,-3001.6616,61.402122,0,-0.063867189,-0.001
96.145943,-3001.6616,61.402122,0,-0.063867189,-0.001
95.926231,-3153.2808,65.913124,0,-0.06269531,-0.001
95.926231,-3153.2808,65.913124,0,-0.06269531,-0.001
95.720184,-3314.4448,70.351814,0,-0.061523438,-0.001
95.720184,-3314.4448,70.351814,0,-0.061523438,-0.001
95.527496,-3485.2788,74.704857,0,-0.060351565,-0.001
95.527496,-3485.2788,74.704857,0,-0.060351565,-0.001
95.347801,-3665.9141,78.96122,0,-0.059179686,-0.001
95.347801,-3665.9141,78.96122,0,-0.059179686,-0.001
95.180687,-3856.491,83.111626,0,-0.058007814,-0.001
95.180687,-3856.491,83.111626,0,-0.058007814,-0.001
95.025597,-4057.1721,87.148773,0,-0.056835935,-0.001
95.025597,-4057.1721,87.148773,0,-0.056835935,-0.001
94.881989,-4268.1382,91.066833,0,-0.055664062,-0.001
94.881989,-4268.1382,91.066833,0,-0.055664062,-0.001
94.74926,-4489.6011,94.861343,0,-0.05449219,-0.001
94.74926,-4489.6011,94.861343,0,-0.05449219,-0.001
94.62674,-4721.8086,98.529289,0,-0.053320311,-0.001
94.62674,-4721.8086,98.529289,0,-0.053320311,-0.001
94.513687,-4965.0454,102.06896,0,-0.052148439,-0.001
94.513687,-4965.0454,102.06896,0,-0.052148439,-0.001
94.409286,-5219.6514,105.48012,0,-0.05097656,-0.001
94.409286,-5219.6514,105.48012,0,-0.05097656,-0.001
94.312691,-5486.0181,108.76387,0,-0.049804688,-0.001
94.312691,-5486.0181,108.76387,0,-0.049804688,-0.001
94.222977,-5764.606,111.92269,0,-0.048632815,-0.001
94.222977,-5764.606,111.92269,0,-0.048632815,-0.001
94.139183,-6055.9502,114.96035,0,-0.047460936,-0.001
94.139183,-6055.9502,114.96035,0,-0.047460936,-0.001
94.060379,-6360.6685,117.88228,0,-0.046289064,-0.001
94.060379,-6360.6685,117.88228,0,-0.046289064,-0.001
93.985573,-6679.4814,120.69583,0,-0.045117185,-0.001
93.985573,-6679.4814,120.69583,0,-0.045117185,-0.001
93.913773,-7013.2148,123.40952,0,-0.043945312,-0.001
93.913773,-7013.2148,123.40952,0,-0.043945312,-0.001
93.843925,-7362.8267,126.03322,0,-0.04277344,-0.001
93.843925,-7362.8267,126.03322,0,-0.04277344,-0.001
93.774971,-7729.4175,128.5786,0,-0.041601561,-0.001
93.774971,-7729.4175,128.5786,0,-0.041601561,-0.001
93.705757,-8114.2471,131.05859,0,-0.040429689,-0.001
93.705757,-8114.2471,131.05859,0,-0.040429689,-0.001
93.635033,-8518.7715,133.48709,0,-0.03925781,-0.001
93.635033,-8518.7715,133.48709,0,-0.03925781,-0.001
93.561516,-8944.6523,135.87968,0,-0.038085938,-0.001
93.561516,-8944.6523,135.87968,0,-0.038085938,-0.001
93.483826,-9393.8066,138.25362,0,-0.036914065,-0.001
93.483826,-9393.8066,138.25362,0,-0.036914065,-0.001
93.400536,-9868.4336,140.62686,0,-0.035742186,-0.001
93.400536,-9868.4336,140.62686,0,-0.035742186,-0.001
93.310158,-10371.061,143.01892,0,-0.034570314,-0.001
93.310158,-10371.061,143.01892,0,-0.034570314,-0.001
93.21106,-10904.61,145.45192,0,-0.033398435,-0.001
93.21106,-10904.61,145.45192,0,-0.033398435,-0.001
93.101395,-11472.447,147.94962,0,-0.032226562,-0.001
93.101395,-11472.447,147.94962,0,-0.032226562,-0.001
92.97905,-12078.484,150.53754,0,-0.031054689,-0.001
92.97905,-12078.484,150.53754,0,-0.031054689,-0.001
92.841599,-12727.262,153.24426,0,-0.029882813,-0.001
92.841599,-12727.262,153.24426,0,-0.029882813,-0.001
92.686157,-13424.082,156.10184,0,-0.028710937,-0.001
92.686157,-13424.082,156.10184,0,-0.028710937,-0.001
92.509262,-14175.163,159.14569,0,-0.027539063,-0.001
92.509262,-14175.163,159.14569,0,-0.027539063,-0.001
92.306793,-14987.836,162.41629,0,-0.026367188,-0.001
92.306793,-14987.836,162.41629,0,-0.026367188,-0.001
92.07373,-15870.788,165.9604,0,-0.025195312,-0.001
92.07373,-15870.788,165.9604,0,-0.025195312,-0.001
91.803802,-16834.381,169.83179,0,-0.024023438,-0.001
91.803802,-16834.381,169.83179,0,-0.024023438,-0.001
91.489105,-17891.062,174.09308,0,-0.022851562,-0.001
91.489105,-17891.062,174.09308,0,-0.022851562,-0.001
91.119568,-19055.893,178.8199,0,-0.021679688,-0.001
91.119568,-19055.893,178.8199,0,-0.021679688,-0.001
90.682129,-20347.234,184.10489,0,-0.020507812,-0.001
90.682129,-20347.234,184.10489,0,-0.020507812,-0.001
90.159363,-21787.674,190.06223,0,-0.019335937,-0.001
90.159363,-21787.674,190.06223,0,-0.019335937,-0.001
89.527954,-23405.215,196.83583,0,-0.018164063,-0.001
89.527954,-23405.215,196.83583,0,-0.018164063,-0.001
88.755981,-25234.895,204.61131,0,-0.016992187,-0.001
88.755981,-25234.895,204.61131,0,-0.016992187,-0.001
87.798889,-27320.836,213.63379,0,-0.015820313,-0.001
87.798889,-27320.836,213.63379,0,-0.015820313,-0.001
86.593384,-29718.934,224.24554,0,-0.014648438,-0.001
86.593384,-29718.934,224.24554,0,-0.014648438,-0.001
