"solidJ0:0","solidJ0:1","solidJ0:2","Points:0","Points:1","Points:2"
0.42607689,0,-358.19257,0,-0.077,-0.001
0.4265871,102.37238,-359.96909,0,-0.076749995,-0.001
0.42887112,313.61203,-365.48495,0,-0.076250002,-0.001
0.42887112,313.61203,-365.48495,0,-0.076250002,-0.001
0.43393236,537.94104,-367.81409,0,-0.075749993,-0.001
0.43393236,537.94104,-367.81409,0,-0.075749993,-0.001
0.44392204,779.21692,-326.97302,0,-0.07525,-0.001
0.44392204,779.21692,-326.97302,0,-0.07525,-0.001
0.46364889,1018.7819,-210.51808,0,-0.07441406,-0.001
0.46364889,1018.7819,-210.51808,0,-0.07441406,-0.001
0.49360085,1196.3049,-82.923676,0,-0.073242188,-0.001
0.49360085,1196.3049,-82.923676,0,-0.073242188,-0.001
0.52781475,1289.9658,-19.679949,0,-0.072070315,-0.001
0.52781475,1289.9658,-19.679949,0,-0.072070315,-0.001
0.56261349,1343.9739,-2.2077224,0,-0.070898436,-0.001
0.56261349,1343.9739,-2.2077224,0,-0.070898436,-0.001
0.59783554,1388.7625,5.7742195,0,-0.069726564,-0.001
0.59783554,1388.7625,5.7742195,0,-0.069726564,-0.001
0.63342965,1426.8258,11.78975,0,-0.068554685,-0.001
0.63342965,1426.8258,11.78975,0,-0.068554685,-0.001
0.66935158,1458.4263,17.362097,0,-0.067382812,-0.001
0.66935158,1458.4263,17.362097,0,-0.067382812,-0.001
0.70556152,1483.6367,22.797077,0,-0.06621094,-0.001
0.70556152,1483.6367,22.797077,0,-0.06621094,-0.001
0.74202442,1502.5117,28.153139,0,-0.065039061,-0.001
0.74202442,1502.5117,28.153139,0,-0.065039061,-0.001
0.77870941,1515.105,33.437378,0,-0.063867189,-0.001
0.77870941,1515.105,33.437378,0,-0.063867189,-0.001
0.81558716,1521.4735,38.645714,0,-0.06269531,-0.001
0.81558716,1521.4735,38.645714,0,-0.06269531,-0.001
0.85262012,1521.6779,43.771263,0,-0.061523438,-0.001
0.85262012,1521.6779,43.771263,0,-0.061523438,-0.001
0.88976759,1515.7826,48.806549,0,-0.060351565,-0.001
0.88976759,1515.7826,48.806549,0,-0.060351565,-0.001
0.92699534,1503.8561,53.743885,0,-0.059179686,-0.001
0.92699534,1503.8561,53.743885,0,-0.059179686,-0.001
0.96428007,1485.9706,58.575298,0,-0.058007814,-0.001
0.96428007,1485.9706,58.575298,0,-0.058007814,-0.001
1.0016041,1462.2012,63.292812,0,-0.056835935,-0.001
1.0016041,1462.2012,63.292812,0,-0.056835935,-0.001
1.0389357,1432.6262,67.888535,0,-0.055664062,-0.001
1.0389357,1432.6262,67.888535,0,-0.055664062,-0.001
1.0762177,1397.3248,72.35524,0,-0.05449219,-0.001
1.0762177,1397.3248,72.35524,0,-0.05449219,-0.001
1.1133671,1356.3765,76.686493,0,-0.053320311,-0.001
1.1133671,1356.3765,76.686493,0,-0.053320311,-0.001
1.1502953,1309.859,80.876625,0,-0.052148439,-0.001
1.1502953,1309.859,80.876625,0,-0.052148439,-0.001
1.1869402,1257.8466,84.920883,0,-0.05097656,-0.001
1.1869402,1257.8466,84.920883,0,-0.05097656,-0.001
1.2232714,1200.41,88.815392,0,-0.049804688,-0.001
1.2232714,1200.41,88.815392,0,-0.049804688,-0.001
1.259263,1137.6124,92.557335,0,-0.048632815,-0.001
1.259263,1137.6124,92.557335,0,-0.048632815,-0.001
1.2948732,1069.5076,96.144806,0,-0.047460936,-0.001
1.2948732,1069.5076,96.144806,0,-0.047460936,-0.001
1.3300514,996.13867,99.576775,0,-0.046289064,-0.001
1.3300514,996.13867,99.576775,0,-0.046289064,-0.001
1.3647614,917.53271,102.85337,0,-0.045117185,-0.001
1.3647614,917.53271,102.85337,0,-0.045117185,-0.001
1.3989835,833.70081,105.97588,0,-0.043945312,-0.001
1.3989835,833.70081,105.97588,0,-0.043945312,-0.001
1.4326921,744.63129,108.94667,0,-0.04277344,-0.001
1.4326921,744.63129,108.94667,0,-0.04277344,-0.001
1.4658461,650.28717,111.76884,0,-0.041601561,-0.001
1.4658461,650.28717,111.76884,0,-0.041601561,-0.001
1.4984055,550.60431,114.44598,0,-0.040429689,-0.001
1.4984055,550.60431,114.44598,0,-0.040429689,-0.001
1.5303431,445.483,116.98257,0,-0.03925781,-0.001
1.5303431,445.483,116.98257,0,-0.03925781,-0.001
1.5616453,334.78708,119.38377,0,-0.038085938,-0.001
1.5616453,334.78708,119.38377,0,-0.038085938,-0.001
1.592311,218.33408,121.65535,0,-0.036914065,-0.001
1.592311,218.33408,121.65535,0,-0.036914065,-0.001
1.6223506,95.889511,123.80344,0,-0.035742186,-0.001
1.6223506,95.889511,123.80344,0,-0.035742186,-0.001
1.6517682,-32.839134,125.83462,0,-0.034570314,-0.001
1.6517682,-32.839134,125.83462,0,-0.034570314,-0.001
1.6805434,-168.21693,127.75578,0,-0.033398435,-0.001
1.6805434,-168.21693,127.75578,0,-0.033398435,-0.001
1.7086368,-310.68674,129.57401,0,-0.032226562,-0.001
1.7086368,-310.68674,129.57401,0,-0.032226562,-0.001
1.7359972,-460.78839,131.29691,0,-0.031054689,-0.001
1.7359972,-460.78839,131.29691,0,-0.031054689,-0.001
1.7625618,-619.17224,132.9325,0,-0.029882813,-0.001
1.7625618,-619.17224,132.9325,0,-0.029882813,-0.001
1.78827,-786.62109,134.48907,0,-0.028710937,-0.001
1.78827,-786.62109,134.48907,0,-0.028710937,-0.001
1.8130798,-964.07562,135.97559,0,-0.027539063,-0.001
1.8130798,-964.07562,135.97559,0,-0.027539063,-0.001
1.8369293,-1152.6677,137.40163,0,-0.026367188,-0.001
1.8369293,-1152.6677,137.40163,0,-0.026367188,-0.001
1.8596992,-1353.7603,138.7767,0,-0.025195312,-0.001
1.8596992,-1353.7603,138.7767,0,-0.025195312,-0.001
1.8812485,-1568.9988,140.11017,0,-0.024023438,-0.001
1.8812485,-1568.9988,140.11017,0,-0.024023438,-0.001
1.9013939,-1800.3789,141.41208,0,-0.022851562,-0.001
1.9013939,-1800.3789,141.41208,0,-0.022851562,-0.001
1.9198647,-2050.3318,142.69295,0,-0.021679688,-0.001
1.9198647,-2050.3318,142.69295,0,-0.021679688,-0.001
1.9363213,-2321.8389,143.96339,0,-0.020507812,-0.001
1.9363213,-2321.8389,143.96339,0,-0.020507812,-0.001
1.9503403,-2618.5771,145.23541,0,-0.019335937,-0.001
1.9503403,-2618.5771,145.23541,0,-0.019335937,-0.001
1.9613342,-2945.1194,146.52303,0,-0.018164063,-0.001
1.9613342,-2945.1194,146.52303,0,-0.018164063,-0.001
1.9684525,-3307.1953,147.84145,0,-0.016992187,-0.001
1.9684525,-3307.1953,147.84145,0,-0.016992187,-0.001
1.9705505,-3712.0264,149.20891,0,-0.015820313,-0.001
1.9705505,-3712.0264,149.20891,0,-0.015820313,-0.001
1.9660187,-4168.7632,150.65109,0,-0.014648438,-0.001
1.9660187,-4168.7632,150.65109,0,-0.014648438,-0.001
1.9524689,-4688.998,152.21094,0,-0.013476562,-0.001
1.9524689,-4688.998,152.21094,0,-0.013476562,-0.001
1.9263763,-5287.2837,153.9976,0,-0.012304688,-0.001
1.9263763,-5287.2837,153.9976,0,-0.012304688,-0.001
1.8823242,-5981.3755,156.42302,0,-0.011132812,-0.001
1.8823242,-5981.3755,156.42302,0,-0.011132812,-0.001
1.8119507,-6791.3911,161.34631,0,-0.0099609382,-0.001
1.8119507,-6791.3911,161.34631,0,-0.0099609382,-0.001
1.7023315,-7735.6636,177.68832,0,-0.0087890625,-0.001
1.7023315,-7735.6636,177.68832,0,-0.0087890625,-0.001
1.5338745,-8814.6094,248.94481,0,-0.0076171872,-0.001
1.5338745,-8814.6094,248.94481,0,-0.0076171872,-0.001
1.2797241,-9917.3945,586.62433,0,-0.0064453124,-0.001
1.2797241,-9917.3945,586.62433,0,-0.0064453124,-0.001
0.91732788,-9899.9902,2191.0513,0,-0.0052734376,-0.001
