"solidJ0:0","solidJ0:1","solidJ0:2","Points:0","Points:1","Points:2"
0.73199463,0,-318.84048,0,-0.077,-0.001
0.73273754,92.147591,-320.44189,0,-0.076749995,-0.001
0.73597425,282.38757,-325.4863,0,-0.076250002,-0.001
0.73597425,282.38757,-325.4863,0,-0.076250002,-0.001
0.74301153,484.53497,-328.00662,0,-0.075749993,-0.001
0.74301153,484.53497,-328.00662,0,-0.075749993,-0.001
0.75678539,702.87122,-293.01907,0,-0.07525,-0.001
0.75678539,702.87122,-293.01907,0,-0.07525,-0.001
0.78396809,922.5636,-191.15872,0,-0.07441406,-0.001
0.78396809,922.5636,-191.15872,0,-0.07441406,-0.001
0.82518959,1089.4312,-77.984154,0,-0.073242188,-0.001
0.82518959,1089.4312,-77.984154,0,-0.073242188,-0.001
0.87202626,1181.4528,-20.756931,0,-0.072070315,-0.001
0.87202626,1181.4528,-20.756931,0,-0.072070315,-0.001
0.91923809,1236.8145,-4.2343283,0,-0.070898436,-0.001
0.91923809,1236.8145,-4.2343283,0,-0.070898436,-0.001
0.96656322,1282.9065,3.5849085,0,-0.069726564,-0.001
0.96656322,1282.9065,3.5849085,0,-0.069726564,-0.001
1.0139505,1322.2271,9.5165358,0,-0.068554685,-0.001
1.0139505,1322.2271,9.5165358,0,-0.068554685,-0.001
1.0613813,1355.1211,14.982807,0,-0.067382812,-0.001
1.0613813,1355.1211,14.982807,0,-0.067382812,-0.001
1.1088208,1381.709,20.286678,0,-0.06621094,-0.001
1.1088208,1381.709,20.286678,0,-0.06621094,-0.001
1.1562004,1402.0715,25.495022,0,-0.065039061,-0.001
1.1562004,1402.0715,25.495022,0,-0.065039061,-0.001
1.2034426,1416.2783,30.621887,0,-0.063867189,-0.001
1.2034426,1416.2783,30.621887,0,-0.063867189,-0.001
1.250496,1424.3954,35.667892,0,-0.06269531,-0.001
1.250496,1424.3954,35.667892,0,-0.06269531,-0.001
1.2973528,1426.4894,40.629143,0,-0.061523438,-0.001
1.2973528,1426.4894,40.629143,0,-0.061523438,-0.001
1.3440236,1422.629,45.49992,0,-0.060351565,-0.001
1.3440236,1422.629,45.49992,0,-0.060351565,-0.001
1.3904973,1412.8856,50.273563,0,-0.059179686,-0.001
1.3904973,1412.8856,50.273563,0,-0.059179686,-0.001
1.4367274,1397.3336,54.942917,0,-0.058007814,-0.001
1.4367274,1397.3336,54.942917,0,-0.058007814,-0.001
1.4826547,1376.0499,59.500916,0,-0.056835935,-0.001
1.4826547,1376.0499,59.500916,0,-0.056835935,-0.001
1.5282345,1349.1145,63.940834,0,-0.055664062,-0.001
1.5282345,1349.1145,63.940834,0,-0.055664062,-0.001
1.5734462,1316.6082,68.256676,0,-0.05449219,-0.001
1.5734462,1316.6082,68.256676,0,-0.05449219,-0.001
1.6182739,1278.6116,72.443085,0,-0.053320311,-0.001
1.6182739,1278.6116,72.443085,0,-0.053320311,-0.001
1.6626929,1235.204,76.495255,0,-0.052148439,-0.001
1.6626929,1235.204,76.495255,0,-0.052148439,-0.001
1.7066718,1186.4601,80.409363,0,-0.05097656,-0.001
1.7066718,1186.4601,80.409363,0,-0.05097656,-0.001
1.7501698,1132.4496,84.182739,0,-0.049804688,-0.001
1.7501698,1132.4496,84.182739,0,-0.049804688,-0.001
1.793146,1073.2323,87.81398,0,-0.048632815,-0.001
1.793146,1073.2323,87.81398,0,-0.048632815,-0.001
1.83556,1008.8564,91.30265,0,-0.047460936,-0.001
1.83556,1008.8564,91.30265,0,-0.047460936,-0.001
1.8773764,939.35675,94.649055,0,-0.046289064,-0.001
1.8773764,939.35675,94.649055,0,-0.046289064,-0.001
1.918574,864.75012,97.854553,0,-0.045117185,-0.001
1.918574,864.75012,97.854553,0,-0.045117185,-0.001
1.9591274,785.03491,100.92148,0,-0.043945312,-0.001
1.9591274,785.03491,100.92148,0,-0.043945312,-0.001
1.9990052,700.18457,103.85309,0,-0.04277344,-0.001
1.9990052,700.18457,103.85309,0,-0.04277344,-0.001
2.0381775,610.14526,106.65329,0,-0.041601561,-0.001
2.0381775,610.14526,106.65329,0,-0.041601561,-0.001
2.0766201,514.83344,109.32668,0,-0.040429689,-0.001
2.0766201,514.83344,109.32668,0,-0.040429689,-0.001
2.1143031,414.1275,111.87864,0,-0.03925781,-0.001
2.1143031,414.1275,111.87864,0,-0.03925781,-0.001
2.1511776,307.86719,114.31502,0,-0.038085938,-0.001
2.1511776,307.86719,114.31502,0,-0.038085938,-0.001
2.1871781,195.84419,116.64222,0,-0.036914065,-0.001
2.1871781,195.84419,116.64222,0,-0.036914065,-0.001
2.2222283,77.796867,118.8672,0,-0.035742186,-0.001
2.2222283,77.796867,118.8672,0,-0.035742186,-0.001
2.256248,-46.595642,120.99745,0,-0.034570314,-0.001
2.256248,-46.595642,120.99745,0,-0.034570314,-0.001
