"Time","avg(h)","max(h)"
0.15048,3.3049e-05,6.6829e-05
0.30744,3.7081e-05,0.00012221
0.4514,3.7462e-05,9.2073e-05
0.61185,3.8011e-05,0.00012434
0.75691,3.6463e-05,0.00012622
0.89136,3.2926e-05,4.6563e-05
1.0549,3.2572e-05,3.9144e-05
1.2125,3.3266e-05,3.8995e-05
1.3586,3.6002e-05,4.4492e-05
1.5159,3.65e-05,4.0223e-05
1.6776,4.0661e-05,0.00013111
1.8457,4.0219e-05,0.00013365
2.0048,4.046e-05,0.00013898
2.1688,4.0169e-05,0.00013768
2.2954,3.9107e-05,6.2602e-05
2.4583,3.7002e-05,4.4598e-05
2.6186,3.1448e-05,0.00010933
2.7695,3.8529e-05,0.00014605
2.9182,3.7764e-05,0.00013051
3.0511,3.281e-05,4.1325e-05
3.2022,3.5471e-05,5.0037e-05
3.357,3.5224e-05,4.3646e-05
3.4871,3.8791e-05,4.4412e-05
3.634,3.758e-05,4.5328e-05
3.7811,3.8642e-05,8.1214e-05
3.931,3.9689e-05,5.9479e-05
4.0624,3.3969e-05,4.4838e-05
4.2154,3.8187e-05,4.4537e-05
4.3683,3.8252e-05,4.5589e-05
4.5256,4.157e-05,0.00011795
4.6829,4.0721e-05,0.00010502
4.831,4.4e-05,0.00012081
5.0033,4.1468e-05,0.0001129
5.1442,4.1419e-05,0.0001087
5.2925,4.2062e-05,0.00010881
5.4371,4.0259e-05,0.00014609
5.584,3.7814e-05,5.0085e-05
5.7283,3.9323e-05,4.9042e-05
5.901,3.8836e-05,5.3174e-05
6.0555,3.9739e-05,5.1454e-05
6.1959,3.8714e-05,5.035e-05
6.3354,3.7599e-05,5.2714e-05
6.5063,3.9279e-05,5.3794e-05
6.6728,3.9551e-05,5.968e-05
6.8051,4.3324e-05,0.00010709
6.9714,4.3318e-05,0.00012366
7.1237,4.3488e-05,0.00011815
7.2725,3.938e-05,5.3947e-05
7.4382,4.4001e-05,0.00012291
7.603,4.4259e-05,0.00014483
7.7333,3.9851e-05,5.5426e-05
7.8894,4.1955e-05,5.7359e-05
8.0287,4.1433e-05,5.9127e-05
8.1706,4.1632e-05,5.7514e-05
8.3252,4.2016e-05,5.8519e-05
8.4736,4.1357e-05,6.2345e-05
8.6295,4.172e-05,0.0001085
8.7852,4.5082e-05,0.00010457
8.9264,4.4994e-05,0.00010166
9.0705,4.6856e-05,0.00011607
9.2198,3.9585e-05,6.4579e-05
9.3595,4.0319e-05,6.6313e-05
9.5038,3.9948e-05,6.4804e-05
9.6597,3.7878e-05,6.0198e-05
9.8372,3.3703e-05,6.3113e-05
9.9886,3.8785e-05,6.6037e-05
