"solidJ0:0","solidJ0:1","solidJ0:2","Points:0","Points:1","Points:2"
0.73589706,0,-317.8739,0,-0.077,-0.001
0.73664093,91.895912,-319.47092,0,-0.076749995,-0.001
0.73988527,281.61804,-324.50327,0,-0.076250002,-0.001
0.73988527,281.61804,-324.50327,0,-0.076250002,-0.001
0.74694353,483.21695,-327.02728,0,-0.075749993,-0.001
0.74694353,483.21695,-327.02728,0,-0.075749993,-0.001
0.76075935,700.9856,-292.18237,0,-0.07525,-0.001
0.76075935,700.9856,-292.18237,0,-0.07525,-0.001
0.78802598,920.18628,-190.6803,0,-0.07441406,-0.001
0.78802598,920.18628,-190.6803,0,-0.07441406,-0.001
0.82938004,1086.7898,-77.860474,0,-0.073242188,-0.001
0.82938004,1086.7898,-77.860474,0,-0.073242188,-0.001
0.87637216,1178.769,-20.780752,0,-0.072070315,-0.001
0.87637216,1178.769,-20.780752,0,-0.072070315,-0.001
0.92374516,1234.1608,-4.2805119,0,-0.070898436,-0.001
0.92374516,1234.1608,-4.2805119,0,-0.070898436,-0.001
0.97123528,1280.2803,3.5354817,0,-0.069726564,-0.001
0.97123528,1280.2803,3.5354817,0,-0.069726564,-0.001
1.0187885,1319.6265,9.4655771,0,-0.068554685,-0.001
1.0187885,1319.6265,9.4655771,0,-0.068554685,-0.001
1.0663843,1352.5464,14.929604,0,-0.067382812,-0.001
1.0663843,1352.5464,14.929604,0,-0.067382812,-0.001
1.1139878,1379.1616,20.230482,0,-0.06621094,-0.001
1.1139878,1379.1616,20.230482,0,-0.06621094,-0.001
1.1615314,1399.5542,25.435307,0,-0.065039061,-0.001
1.1615314,1399.5542,25.435307,0,-0.065039061,-0.001
1.2089348,1413.7939,30.558308,0,-0.063867189,-0.001
1.2089348,1413.7939,30.558308,0,-0.063867189,-0.001
1.2561446,1421.9473,35.600235,0,-0.06269531,-0.001
1.2561446,1421.9473,35.600235,0,-0.06269531,-0.001
1.303153,1424.0808,40.557274,0,-0.061523438,-0.001
1.303153,1424.0808,40.557274,0,-0.061523438,-0.001
1.3499726,1420.2638,45.423786,0,-0.060351565,-0.001
1.3499726,1420.2638,45.423786,0,-0.060351565,-0.001
1.3965942,1410.5674,50.193157,0,-0.059179686,-0.001
1.3965942,1410.5674,50.193157,0,-0.059179686,-0.001
1.4429721,1395.0663,54.858265,0,-0.058007814,-0.001
1.4429721,1395.0663,54.858265,0,-0.058007814,-0.001
1.4890481,1373.8375,59.412075,0,-0.056835935,-0.001
1.4890481,1373.8375,59.412075,0,-0.056835935,-0.001
1.5347757,1346.9607,63.847874,0,-0.055664062,-0.001
1.5347757,1346.9607,63.847874,0,-0.055664062,-0.001
1.5801314,1314.5167,68.159691,0,-0.05449219,-0.001
1.5801314,1314.5167,68.159691,0,-0.05449219,-0.001
1.6250993,1276.5863,72.342186,0,-0.053320311,-0.001
1.6250993,1276.5863,72.342186,0,-0.053320311,-0.001
1.6696566,1233.249,76.390579,0,-0.052148439,-0.001
1.6696566,1233.249,76.390579,0,-0.052148439,-0.001
1.713771,1184.5791,80.301071,0,-0.05097656,-0.001
1.713771,1184.5791,80.301071,0,-0.05097656,-0.001
1.7574034,1130.6465,84.070976,0,-0.049804688,-0.001
1.7574034,1130.6465,84.070976,0,-0.049804688,-0.001
1.8005122,1071.5107,87.698936,0,-0.048632815,-0.001
1.8005122,1071.5107,87.698936,0,-0.048632815,-0.001
1.8430539,1007.2199,91.184532,0,-0.047460936,-0.001
1.8430539,1007.2199,91.184532,0,-0.047460936,-0.001
1.8849953,937.80896,94.528099,0,-0.046289064,-0.001
1.8849953,937.80896,94.528099,0,-0.046289064,-0.001
1.926314,863.29449,97.731018,0,-0.045117185,-0.001
1.926314,863.29449,97.731018,0,-0.045117185,-0.001
1.9669843,783.67462,100.79564,0,-0.043945312,-0.001
1.9669843,783.67462,100.79564,0,-0.043945312,-0.001
2.0069761,698.92273,103.72526,0,-0.04277344,-0.001
2.0069761,698.92273,103.72526,0,-0.04277344,-0.001
2.0462584,608.98486,106.5238,0,-0.041601561,-0.001
2.0462584,608.98486,106.5238,0,-0.041601561,-0.001
2.0848072,513.77716,109.1959,0,-0.040429689,-0.001
2.0848072,513.77716,109.1959,0,-0.040429689,-0.001
2.1225936,413.17786,111.74696,0,-0.03925781,-0.001
2.1225936,413.17786,111.74696,0,-0.03925781,-0.001
2.1595697,307.02646,114.18284,0,-0.038085938,-0.001
2.1595697,307.02646,114.18284,0,-0.038085938,-0.001
2.1956689,195.11438,116.50995,0,-0.036914065,-0.001
2.1956689,195.11438,116.50995,0,-0.036914065,-0.001
2.2308149,77.179718,118.73526,0,-0.035742186,-0.001
2.2308149,77.179718,118.73526,0,-0.035742186,-0.001
2.2649264,-47.098675,120.86629,0,-0.034570314,-0.001
2.2649264,-47.098675,120.86629,0,-0.034570314,-0.001
2.2979367,-178.1153,122.91105,0,-0.033398435,-0.001
2.2979367,-178.1153,122.91105,0,-0.033398435,-0.001
2.329792,-316.34332,124.87802,0,-0.032226562,-0.001
2.329792,-316.34332,124.87802,0,-0.032226562,-0.001
2.3604279,-462.35364,126.77612,0,-0.031054689,-0.001
2.3604279,-462.35364,126.77612,0,-0.031054689,-0.001
2.38976,-616.82788,128.6142,0,-0.029882813,-0.001
2.38976,-616.82788,128.6142,0,-0.029882813,-0.001
2.4176989,-780.57996,130.40128,0,-0.028710937,-0.001
2.4176989,-780.57996,130.40128,0,-0.028710937,-0.001
2.4441376,-954.58148,132.14697,0,-0.027539063,-0.001
2.4441376,-954.58148,132.14697,0,-0.027539063,-0.001
2.4689236,-1139.9954,133.8615,0,-0.026367188,-0.001
2.4689236,-1139.9954,133.8615,0,-0.026367188,-0.001
2.4918861,-1338.2153,135.55553,0,-0.025195312,-0.001
2.4918861,-1338.2153,135.55553,0,-0.025195312,-0.001
2.5128365,-1550.9191,137.24118,0,-0.024023438,-0.001
2.5128365,-1550.9191,137.24118,0,-0.024023438,-0.001
2.531517,-1780.1372,138.93237,0,-0.022851562,-0.001
2.531517,-1780.1372,138.93237,0,-0.022851562,-0.001
2.5475922,-2028.3407,140.64438,0,-0.021679688,-0.001
2.5475922,-2028.3407,140.64438,0,-0.021679688,-0.001
2.5606689,-2298.5566,142.39497,0,-0.020507812,-0.001
2.5606689,-2298.5566,142.39497,0,-0.020507812,-0.001
2.5702286,-2594.5208,144.20587,0,-0.019335937,-0.001
2.5702286,-2594.5208,144.20587,0,-0.019335937,-0.001
2.575531,-2920.8799,146.10287,0,-0.018164063,-0.001
2.575531,-2920.8799,146.10287,0,-0.018164063,-0.001
2.575592,-3283.4602,148.11752,0,-0.016992187,-0.001
2.575592,-3283.4602,148.11752,0,-0.016992187,-0.001
2.5690536,-3689.6133,150.29131,0,-0.015820313,-0.001
2.5690536,-3689.6133,150.29131,0,-0.015820313,-0.001
2.5539246,-4148.667,152.68089,0,-0.014648438,-0.001
2.5539246,-4148.667,152.68089,0,-0.014648438,-0.001
2.527298,-4672.46,155.37294,0,-0.013476562,-0.001
2.527298,-4672.46,155.37294,0,-0.013476562,-0.001
2.4848633,-5275.8877,158.54303,0,-0.012304688,-0.001
2.4848633,-5275.8877,158.54303,0,-0.012304688,-0.001
2.4199829,-5977.1948,162.70912,0,-0.011132812,-0.001
2.4199829,-5977.1948,162.70912,0,-0.011132812,-0.001
2.3223572,-6797.2021,169.92111,0,-0.0099609382,-0.001
2.3223572,-6797.2021,169.92111,0,-0.0099609382,-0.001
2.1759949,-7755.2598,189.52071,0,-0.0087890625,-0.001
2.1759949,-7755.2598,189.52071,0,-0.0087890625,-0.001
1.9566345,-8853.1924,266.18558,0,-0.0076171872,-0.001
1.9566345,-8853.1924,266.18558,0,-0.0076171872,-0.001
1.6306152,-9981.083,615.55182,0,-0.0064453124,-0.001
1.6306152,-9981.083,615.55182,0,-0.0064453124,-0.001
1.1690369,-9981.124,2254.5173,0,-0.0052734376,-0.001
1.1690369,-9981.124,2254.5173,0,-0.0052734376,-0.001
0.69400018,-7443.748,4143.3018,0,-0.0041015623,-0.001
0.69400018,-7443.748,4143.3018,0,-0.0041015623,-0.001
0.40884399,-3771.1824,3770.0779,0,-0.0029296875,-0.001
0.40884399,-3771.1824,3770.0779,0,-0.0029296875,-0.001
0.30352783,-1404.1617,2398.4829,0,-0.0017578126,-0.001
0.30352783,-1404.1617,2398.4829,0,-0.0017578126,-0.001
0.26797485,-358.82568,1810.1008,0,-0.00058593752,-0.001
0.26797485,-358.82568,1810.1008,0,-0.00058593752,-0.001
0.26681519,359.44339,1810.3213,0,0.00058593752,-0.001
0.26681519,359.44339,1810.3213,0,0.00058593752,-0.001
0.29953003,1405.2656,2399.2808,0,0.0017578126,-0.001
0.29953003,1405.2656,2399.2808,0,0.0017578126,-0.001
0.39984131,3773.7568,3771.8301,0,0.0029296875,-0.001
0.39984131,3773.7568,3771.8301,0,0.0029296875,-0.001
0.67346185,7448.7827,4145.3091,0,0.0041015623,-0.001
0.67346185,7448.7827,4145.3091,0,0.0041015623,-0.001
1.1288452,9988.1221,2255.3364,0,0.0052734376,-0.001
1.1288452,9988.1221,2255.3364,0,0.0052734376,-0.001
1.5704346,9988.6074,615.37256,0,0.0064453124,-0.001
1.5704346,9988.6074,615.37256,0,0.0064453124,-0.001
1.8838806,8860.5693,265.83734,0,0.0076171872,-0.001
1.8838806,8860.5693,265.83734,0,0.0076171872,-0.001
2.0986023,7762.4824,189.16803,0,0.0087890625,-0.001
2.0986023,7762.4824,189.16803,0,0.0087890625,-0.001
2.2458191,6804.3262,169.59268,0,0.0099609382,-0.001
2.2458191,6804.3262,169.59268,0,0.0099609382,-0.001
2.3474426,5984.2759,162.40662,0,0.011132812,-0.001
2.3474426,5984.2759,162.40662,0,0.011132812,-0.001
2.4178162,5282.9736,158.26381,0,0.012304688,-0.001
2.4178162,5282.9736,158.26381,0,0.012304688,-0.001
2.4663086,4679.5903,155.11389,0,0.013476562,-0.001
2.4663086,4679.5903,155.11389,0,0.013476562,-0.001
2.4990997,4155.8755,152.43906,0,0.014648438,-0.001
2.4990997,4155.8755,152.43906,0,0.014648438,-0.001
2.5202026,3696.9277,150.06453,0,0.015820313,-0.001
2.5202026,3696.9277,150.06453,0,0.015820313,-0.001
2.5323334,3290.9058,147.90405,0,0.016992187,-0.001
2.5323334,3290.9058,147.90405,0,0.016992187,-0.001
2.5374374,2928.479,145.90096,0,0.018164063,-0.001
2.5374374,2928.479,145.90096,0,0.018164063,-0.001
2.5368881,2602.2932,144.01407,0,0.019335937,-0.001
2.5368881,2602.2932,144.01407,0,0.019335937,-0.001
2.5316582,2306.5205,142.21233,0,0.020507812,-0.001
2.5316582,2306.5205,142.21233,0,0.020507812,-0.001
2.52248,2036.5125,140.47009,0,0.021679688,-0.001
2.52248,2036.5125,140.47009,0,0.021679688,-0.001
2.5099487,1788.5323,138.76581,0,0.022851562,-0.001
2.5099487,1788.5323,138.76581,0,0.022851562,-0.001
2.4945145,1559.5518,137.08205,0,0.024023438,-0.001
2.4945145,1559.5518,137.08205,0,0.024023438,-0.001
2.4764957,1347.0992,135.40385,0,0.025195312,-0.001
2.4764957,1347.0992,135.40385,0,0.025195312,-0.001
2.4561729,1149.1433,133.71719,0,0.026367188,-0.001
2.4561729,1149.1433,133.71719,0,0.026367188,-0.001
2.4337845,964.00574,132.00975,0,0.027539063,-0.001
2.4337845,964.00574,132.00975,0,0.027539063,-0.001
2.4094954,790.29272,130.27081,0,0.028710937,-0.001
2.4094954,790.29272,130.27081,0,0.028710937,-0.001
2.3834419,626.8407,128.48984,0,0.029882813,-0.001
2.3834419,626.8407,128.48984,0,0.029882813,-0.001
2.3557749,472.67755,126.65683,0,0.031054689,-0.001
2.3557749,472.67755,126.65683,0,0.031054689,-0.001
2.3266163,326.98914,124.7628,0,0.032226562,-0.001
2.3266163,326.98914,124.7628,0,0.032226562,-0.001
2.2960486,189.09335,122.79915,0,0.033398435,-0.001
2.2960486,189.09335,122.79915,0,0.033398435,-0.001
2.2641528,58.419048,120.75711,0,0.034570314,-0.001
2.2641528,58.419048,120.75711,0,0.034570314,-0.001
2.2310171,-65.506889,118.62836,0,0.035742186,-0.001
2.2310171,-65.506889,118.62836,0,0.035742186,-0.001
2.1967132,-183.07869,116.40517,0,0.036914065,-0.001
2.1967132,-183.07869,116.40517,0,0.036914065,-0.001
2.1612966,-294.61737,114.08008,0,0.038085938,-0.001
2.1612966,-294.61737,114.08008,0,0.038085938,-0.001
2.1248257,-400.38474,111.64589,0,0.03925781,-0.001
2.1248257,-400.38474,111.64589,0,0.03925781,-0.001
2.0873652,-500.58887,109.09602,0,0.040429685,-0.001
2.0873652,-500.58887,109.09602,0,0.040429685,-0.001
2.0489788,-595.39117,106.42451,0,0.041601565,-0.001
2.0489788,-595.39117,106.42451,0,0.041601565,-0.001
2.0097246,-684.91162,103.62592,0,0.04277344,-0.001
2.0097246,-684.91162,103.62592,0,0.04277344,-0.001
1.9696531,-769.23499,100.69542,0,0.043945312,-0.001
1.9696531,-769.23499,100.69542,0,0.043945312,-0.001
1.9288083,-848.41473,97.628983,0,0.045117185,-0.001
1.9288083,-848.41473,97.628983,0,0.045117185,-0.001
1.8872346,-922.47717,94.423401,0,0.046289064,-0.001
1.8872346,-922.47717,94.423401,0,0.046289064,-0.001
1.8449851,-991.42401,91.076469,0,0.047460936,-0.001
1.8449851,-991.42401,91.076469,0,0.047460936,-0.001
1.8021153,-1055.2386,87.586998,0,0.048632815,-0.001
1.8021153,-1055.2386,87.586998,0,0.048632815,-0.001
1.7586813,-1113.8862,83.954887,0,0.049804688,-0.001
1.7586813,-1113.8862,83.954887,0,0.049804688,-0.001
1.7147399,-1167.3186,80.180916,0,0.05097656,-0.001
1.7147399,-1167.3186,80.180916,0,0.05097656,-0.001
1.6703547,-1215.4761,76.2668,0,0.052148439,-0.001
1.6703547,-1215.4761,76.2668,0,0.052148439,-0.001
1.6255876,-1258.2892,72.215424,0,0.053320311,-0.001
1.6255876,-1258.2892,72.215424,0,0.053320311,-0.001
1.580489,-1295.6837,68.030624,0,0.05449219,-0.001
1.580489,-1295.6837,68.030624,0,0.05449219,-0.001
1.5350981,-1327.5809,63.717144,0,0.055664062,-0.001
1.5350981,-1327.5809,63.717144,0,0.055664062,-0.001
1.4894458,-1353.9009,59.280392,0,0.056835935,-0.001
1.4894458,-1353.9009,59.280392,0,0.056835935,-0.001
1.4435662,-1374.5634,54.726494,0,0.058007814,-0.001
1.4435662,-1374.5634,54.726494,0,0.058007814,-0.001
1.3974925,-1389.4894,50.062248,0,0.059179686,-0.001
1.3974925,-1389.4894,50.062248,0,0.059179686,-0.001
1.3512534,-1398.6024,45.294533,0,0.060351565,-0.001
1.3512534,-1398.6024,45.294533,0,0.060351565,-0.001
1.3048782,-1401.829,40.430099,0,0.061523438,-0.001
1.3048782,-1401.829,40.430099,0,0.061523438,-0.001
1.258401,-1399.0988,35.475246,0,0.06269531,-0.001
1.258401,-1399.0988,35.475246,0,0.06269531,-0.001
1.2118664,-1390.3442,30.435654,0,0.063867189,-0.001
1.2118664,-1390.3442,30.435654,0,0.063867189,-0.001
1.1653223,-1375.5004,25.315571,0,0.065039061,-0.001
1.1653223,-1375.5004,25.315571,0,0.065039061,-0.001
1.1188067,-1354.5023,20.115047,0,0.06621094,-0.001
1.1188067,-1354.5023,20.115047,0,0.06621094,-0.001
1.0723495,-1327.282,14.820901,0,0.067382812,-0.001
1.0723495,-1327.282,14.820901,0,0.067382812,-0.001
1.0259801,-1293.7592,9.3686543,0,0.068554685,-0.001
1.0259801,-1293.7592,9.3686543,0,0.068554685,-0.001
0.97973633,-1253.8156,3.466701,0,0.069726564,-0.001
0.97973633,-1253.8156,3.466701,0,0.069726564,-0.001
0.93366909,-1207.1157,-4.2506995,0,0.070898436,-0.001
0.93366909,-1207.1157,-4.2506995,0,0.070898436,-0.001
0.88784969,-1151.243,-20.319471,0,0.072070315,-0.001
0.88784969,-1151.243,-20.319471,0,0.072070315,-0.001
0.8425436,-1059.6074,-75.409218,0,0.073242188,-0.001
0.8425436,-1059.6074,-75.409218,0,0.073242188,-0.001
0.80278409,-895.22406,-183.9478,0,0.07441406,-0.001
0.80278409,-895.22406,-183.9478,0,0.07441406,-0.001
0.776618,-679.94641,-281.44553,0,0.07525,-0.001
0.776618,-679.94641,-281.44553,0,0.07525,-0.001
0.76337248,-467.24405,-314.80011,0,0.075749993,-0.001
0.76337248,-467.24405,-314.80011,0,0.075749993,-0.001
0.75653642,-271.83401,-311.76025,0,0.076250002,-0.001
0.75653642,-271.83401,-311.76025,0,0.076250002,-0.001
0.75329399,-88.687088,-306.02704,0,0.076749995,-0.001
0.7525177,0,-304.11438,0,0.077,-0.001
