"solidJ0:0","solidJ0:1","solidJ0:2","Points:0","Points:1","Points:2"
0.87660408,0,-315.10165,0,-0.077,-0.001
0.87744045,91.153221,-316.68649,0,-0.076749995,-0.001
0.88103575,279.35358,-321.68546,0,-0.076250002,-0.001
0.88103575,279.35358,-321.68546,0,-0.076250002,-0.001
0.88875872,479.35104,-324.21732,0,-0.075749993,-0.001
0.88875872,479.35104,-324.21732,0,-0.075749993,-0.001
0.90373802,695.43518,-289.75098,0,-0.07525,-0.001
0.90373802,695.43518,-289.75098,0,-0.07525,-0.001
0.93315136,913.07697,-189.22432,0,-0.07441406,-0.001
0.93315136,913.07697,-189.22432,0,-0.07441406,-0.001
0.9776392,1078.6938,-77.408119,0,-0.073242188,-0.001
0.9776392,1078.6938,-77.408119,0,-0.073242188,-0.001
1.0280875,1170.3297,-20.785078,0,-0.072070315,-0.001
1.0280875,1170.3297,-20.785078,0,-0.072070315,-0.001
1.0788088,1225.6394,-4.3869042,0,-0.070898436,-0.001
1.0788088,1225.6394,-4.3869042,0,-0.070898436,-0.001
1.1294851,1271.7142,3.3932326,0,-0.069726564,-0.001
1.1294851,1271.7142,3.3932326,0,-0.069726564,-0.001
1.1800328,1311.0422,9.2997122,0,-0.068554685,-0.001
1.1800328,1311.0422,9.2997122,0,-0.068554685,-0.001
1.2304039,1343.9707,14.742587,0,-0.067382812,-0.001
1.2304039,1343.9707,14.742587,0,-0.067382812,-0.001
1.2805814,1370.6207,20.022993,0,-0.06621094,-0.001
1.2805814,1370.6207,20.022993,0,-0.06621094,-0.001
1.3305712,1391.0736,25.207382,0,-0.065039061,-0.001
1.3305712,1391.0736,25.207382,0,-0.065039061,-0.001
1.3803701,1405.3984,30.309605,0,-0.063867189,-0.001
1.3803701,1405.3984,30.309605,0,-0.063867189,-0.001
1.4299365,1413.6613,35.330414,0,-0.06269531,-0.001
1.4299365,1413.6613,35.330414,0,-0.06269531,-0.001
1.4791994,1415.9272,40.266441,0,-0.061523438,-0.001
1.4791994,1415.9272,40.266441,0,-0.061523438,-0.001
1.528097,1412.2642,45.112724,0,-0.060351565,-0.001
1.528097,1412.2642,45.112724,0,-0.060351565,-0.001
1.5766011,1402.7417,49.863293,0,-0.059179686,-0.001
1.5766011,1402.7417,49.863293,0,-0.059179686,-0.001
1.6247128,1387.4335,54.511581,0,-0.058007814,-0.001
1.6247128,1387.4335,54.511581,0,-0.058007814,-0.001
1.6724321,1366.4156,59.05101,0,-0.056835935,-0.001
1.6724321,1366.4156,59.05101,0,-0.056835935,-0.001
1.7197323,1339.7664,63.47506,0,-0.055664062,-0.001
1.7197323,1339.7664,63.47506,0,-0.055664062,-0.001
1.7665747,1307.5643,67.777664,0,-0.05449219,-0.001
1.7665747,1307.5643,67.777664,0,-0.05449219,-0.001
1.8129312,1269.8881,71.953445,0,-0.053320311,-0.001
1.8129312,1269.8881,71.953445,0,-0.053320311,-0.001
1.858795,1226.8136,75.997894,0,-0.052148439,-0.001
1.858795,1226.8136,75.997894,0,-0.052148439,-0.001
1.9041702,1178.4114,79.907471,0,-0.05097656,-0.001
1.9041702,1178.4114,79.907471,0,-0.05097656,-0.001
