"solidJ0:0","solidJ0:1","solidJ0:2","Points:0","Points:1","Points:2"
0.40343666,0,-367.0708,0,-0.077,-0.001
0.40392971,104.66505,-368.88641,0,-0.076749995,-0.001
0.40613839,320.60846,-374.50555,0,-0.076250002,-0.001
0.40613839,320.60846,-374.50555,0,-0.076250002,-0.001
0.41103655,549.89984,-376.78088,0,-0.075749993,-0.001
0.41103655,549.89984,-376.78088,0,-0.075749993,-0.001
0.42070198,796.2876,-334.58594,0,-0.07525,-0.001
0.42070198,796.2876,-334.58594,0,-0.07525,-0.001
0.43976888,1040.2191,-214.79694,0,-0.07441406,-0.001
0.43976888,1040.2191,-214.79694,0,-0.07441406,-0.001
0.46869183,1219.9883,-83.944099,0,-0.073242188,-0.001
0.46869183,1219.9883,-83.944099,0,-0.073242188,-0.001
0.50168693,1313.8708,-19.366385,0,-0.072070315,-0.001
0.50168693,1313.8708,-19.366385,0,-0.072070315,-0.001
0.53518391,1367.4518,-1.7003217,0,-0.070898436,-0.001
0.53518391,1367.4518,-1.7003217,0,-0.070898436,-0.001
0.56905174,1411.8408,6.3043051,0,-0.069726564,-0.001
0.56905174,1411.8408,6.3043051,0,-0.069726564,-0.001
0.60329926,1449.5251,12.327817,0,-0.068554685,-0.001
0.60329926,1449.5251,12.327817,0,-0.068554685,-0.001
0.63792706,1480.746,17.914803,0,-0.067382812,-0.001
0.63792706,1480.746,17.914803,0,-0.067382812,-0.001
0.67290294,1505.5641,23.371119,0,-0.06621094,-0.001
0.67290294,1505.5641,23.371119,0,-0.06621094,-0.001
0.70817184,1524.0269,28.753078,0,-0.065039061,-0.001
0.70817184,1524.0269,28.753078,0,-0.065039061,-0.001
0.74368954,1536.1836,34.066151,0,-0.063867189,-0.001
0.74368954,1536.1836,34.066151,0,-0.063867189,-0.001
0.77943242,1542.0878,39.305134,0,-0.06269531,-0.001
0.77943242,1542.0878,39.305134,0,-0.06269531,-0.001
0.81537533,1541.7979,44.462265,0,-0.061523438,-0.001
0.81537533,1541.7979,44.462265,0,-0.061523438,-0.001
0.85147947,1535.377,49.529392,0,-0.060351565,-0.001
0.85147947,1535.377,49.529392,0,-0.060351565,-0.001
0.88768679,1522.8926,54.498432,0,-0.059179686,-0.001
0.88768679,1522.8926,54.498432,0,-0.059179686,-0.001
0.92393583,1504.4161,59.361366,0,-0.058007814,-0.001
0.92393583,1504.4161,59.361366,0,-0.058007814,-0.001
0.96018416,1480.022,64.110374,0,-0.056835935,-0.001
0.96018416,1480.022,64.110374,0,-0.056835935,-0.001
0.99641132,1449.7874,68.737633,0,-0.055664062,-0.001
0.99641132,1449.7874,68.737633,0,-0.055664062,-0.001
1.0326061,1413.7913,73.23568,0,-0.05449219,-0.001
1.0326061,1413.7913,73.23568,0,-0.05449219,-0.001
1.0687332,1372.1121,77.597687,0,-0.053320311,-0.001
1.0687332,1372.1121,77.597687,0,-0.053320311,-0.001
1.104722,1324.8279,81.817604,0,-0.052148439,-0.001
1.104722,1324.8279,81.817604,0,-0.052148439,-0.001
1.1404867,1272.0122,85.890419,0,-0.05097656,-0.001
1.1404867,1272.0122,85.890419,0,-0.05097656,-0.001
1.1759605,1213.7358,89.811981,0,-0.049804688,-0.001
1.1759605,1213.7358,89.811981,0,-0.049804688,-0.001
1.2111015,1150.0615,93.5793,0,-0.048632815,-0.001
1.2111015,1150.0615,93.5793,0,-0.048632815,-0.001
1.2458735,1081.0436,97.190468,0,-0.047460936,-0.001
1.2458735,1081.0436,97.190468,0,-0.047460936,-0.001
1.2802401,1006.7252,100.64434,0,-0.046289064,-0.001
1.2802401,1006.7252,100.64434,0,-0.046289064,-0.001
1.3141708,927.13385,103.94067,0,-0.045117185,-0.001
1.3141708,927.13385,103.94067,0,-0.045117185,-0.001
1.3476477,842.28143,107.08018,0,-0.043945312,-0.001
1.3476477,842.28143,107.08018,0,-0.043945312,-0.001
1.3806486,752.15765,110.06484,0,-0.04277344,-0.001
1.3806486,752.15765,110.06484,0,-0.04277344,-0.001
1.4131327,656.72723,112.89761,0,-0.041601561,-0.001
1.4131327,656.72723,112.89761,0,-0.041601561,-0.001
1.4450512,555.92743,115.58198,0,-0.040429689,-0.001
1.4450512,555.92743,115.58198,0,-0.040429689,-0.001
1.4763646,449.6597,118.12225,0,-0.03925781,-0.001
1.4763646,449.6597,118.12225,0,-0.03925781,-0.001
1.5070493,337.78964,120.52344,0,-0.038085938,-0.001
1.5070493,337.78964,120.52344,0,-0.038085938,-0.001
1.5370938,220.13637,122.79137,0,-0.036914065,-0.001
1.5370938,220.13637,122.79137,0,-0.036914065,-0.001
1.5665004,96.467194,124.93233,0,-0.035742186,-0.001
1.5665004,96.467194,124.93233,0,-0.035742186,-0.001
1.5952833,-33.5084,126.95288,0,-0.034570314,-0.001
1.5952833,-33.5084,126.95288,0,-0.034570314,-0.001
1.6234498,-170.15352,128.85982,0,-0.033398435,-0.001
1.6234498,-170.15352,128.85982,0,-0.033398435,-0.001
1.6509924,-313.90912,130.65994,0,-0.032226562,-0.001
1.6509924,-313.90912,130.65994,0,-0.032226562,-0.001
1.6778927,-465.31326,132.36029,0,-0.031054689,-0.001
1.6778927,-465.31326,132.36029,0,-0.031054689,-0.001
1.7041101,-625.01489,133.96829,0,-0.029882813,-0.001
1.7041101,-625.01489,133.96829,0,-0.029882813,-0.001
1.7295799,-793.79565,135.49178,0,-0.028710937,-0.001
1.7295799,-793.79565,135.49178,0,-0.028710937,-0.001
1.7542324,-972.59528,136.93893,0,-0.027539063,-0.001
1.7542324,-972.59528,136.93893,0,-0.027539063,-0.001
1.7779884,-1162.5449,138.31879,0,-0.026367188,-0.001
1.7779884,-1162.5449,138.31879,0,-0.026367188,-0.001
1.8007259,-1365.007,139.6407,0,-0.025195312,-0.001
1.8007259,-1365.007,139.6407,0,-0.025195312,-0.001
1.8222809,-1581.6274,140.91347,0,-0.024023438,-0.001
1.8222809,-1581.6274,140.91347,0,-0.024023438,-0.001
1.8424835,-1814.4031,142.14606,0,-0.022851562,-0.001
1.8424835,-1814.4031,142.14606,0,-0.022851562,-0.001
1.8610916,-2065.7661,143.34805,0,-0.021679688,-0.001
1.8610916,-2065.7661,143.34805,0,-0.021679688,-0.001
1.8777504,-2338.6997,144.52879,0,-0.020507812,-0.001
1.8777504,-2338.6997,144.52879,0,-0.020507812,-0.001
1.8920517,-2636.8835,145.69781,0,-0.019335937,-0.001
1.8920517,-2636.8835,145.69781,0,-0.019335937,-0.001
1.9034348,-2964.8926,146.86642,0,-0.018164063,-0.001
1.9034348,-2964.8926,146.86642,0,-0.018164063,-0.001
1.9110794,-3328.458,148.047,0,-0.016992187,-0.001
1.9110794,-3328.458,148.047,0,-0.016992187,-0.001
1.9138489,-3734.8042,149.25287,0,-0.015820313,-0.001
1.9138489,-3734.8042,149.25287,0,-0.015820313,-0.001
1.9101868,-4193.0811,150.50281,0,-0.014648438,-0.001
1.9101868,-4193.0811,150.50281,0,-0.014648438,-0.001
1.8977661,-4714.8774,151.83121,0,-0.013476562,-0.001
1.8977661,-4714.8774,151.83121,0,-0.013476562,-0.001
1.8731232,-5314.7349,153.3344,0,-0.012304688,-0.001
1.8731232,-5314.7349,153.3344,0,-0.012304688,-0.001
1.8309937,-6010.3809,155.40405,0,-0.011132812,-0.001
1.8309937,-6010.3809,155.40405,0,-0.011132812,-0.001
1.7631836,-6821.8706,159.86876,0,-0.0099609382,-0.001
1.7631836,-6821.8706,159.86876,0,-0.0099609382,-0.001
1.6570435,-7767.4019,175.60431,0,-0.0087890625,-0.001
1.6570435,-7767.4019,175.60431,0,-0.0087890625,-0.001
1.4933777,-8847.0957,246.05962,0,-0.0076171872,-0.001
1.4933777,-8847.0957,246.05962,0,-0.0076171872,-0.001
1.2459717,-9949.4287,582.83887,0,-0.0064453124,-0.001
1.2459717,-9949.4287,582.83887,0,-0.0064453124,-0.001
0.89297485,-9928.1016,2187.3071,0,-0.0052734376,-0.001
0.89297485,-9928.1016,2187.3071,0,-0.0052734376,-0.001
0.5289306,-7394.4014,4033.3296,0,-0.0041015623,-0.001
0.5289306,-7394.4014,4033.3296,0,-0.0041015623,-0.001
0.31036377,-3743.8164,3648.7759,0,-0.0029296875,-0.001
0.31036377,-3743.8164,3648.7759,0,-0.0029296875,-0.001
0.22964478,-1393.3152,2287.0181,0,-0.0017578126,-0.001
0.22964478,-1393.3152,2287.0181,0,-0.0017578126,-0.001
0.20239258,-355.84781,1704.2416,0,-0.00058593752,-0.001
