Time,"Minimum"
0.01,0.0040015
0.02,0.0036976
0.11,0.0032561
1.01,0.0039309
1.02,0.0039299
1.03,0.0039337
1.04,0.003934
1.05,0.0039305
1.06,0.0039325
1.07,0.0039375
1.08,0.0039414
1.09,0.0039439
1.1,0.0039382
0.12,0.0033659
1.11,0.0039409
1.12,0.0039309
1.13,0.0039301
1.14,0.0039248
1.15,0.003925
1.16,0.0039257
1.17,0.0039274
1.18,0.0039275
1.19,0.0039288
1.2,0.0039267
0.13,0.0034933
1.21,0.0039318
1.22,0.0039327
1.23,0.0039277
1.24,0.0039272
1.25,0.003923
1.26,0.0039236
1.27,0.0039216
1.28,0.0039251
1.29,0.0039211
1.3,0.0039205
0.14,0.0033541
1.31,0.0039215
1.32,0.0039245
1.33,0.0039264
1.34,0.0039277
1.35,0.0039271
1.36,0.0039281
1.37,0.0039287
1.38,0.0039271
1.39,0.0039256
1.4,0.0039253
0.15,0.0032996
1.41,0.0039255
1.42,0.003926
1.43,0.0039258
1.44,0.0039258
1.45,0.0039261
1.46,0.0039263
1.47,0.0039266
1.48,0.0039266
1.49,0.0039268
1.5,0.0039281
0.16,0.0032956
1.51,0.0039289
1.52,0.0039284
1.53,0.0039286
1.54,0.0039292
1.55,0.0039284
1.56,0.0039265
1.57,0.0039264
1.58,0.003926
1.59,0.003927
1.6,0.0039288
0.17,0.0033502
1.61,0.0039288
1.62,0.0039296
1.63,0.0039289
1.64,0.0039287
1.65,0.0039296
1.66,0.0039298
1.67,0.0039298
1.68,0.0039321
1.69,0.0039346
1.7,0.0039334
0.18,0.0034341
1.71,0.0039282
1.72,0.0039245
1.73,0.0039247
1.74,0.0039248
1.75,0.0039268
1.76,0.0039294
1.77,0.0039295
1.78,0.003928
1.79,0.0039272
1.8,0.0039259
0.19,0.0034318
1.81,0.003925
1.82,0.0039255
1.83,0.0039262
1.84,0.0039258
1.85,0.0039264
1.86,0.0039282
1.87,0.0039288
1.88,0.0039296
1.89,0.0039313
1.9,0.0039296
0.2,0.0034593
1.91,0.0039294
1.92,0.0039277
1.93,0.00393
1.94,0.0039333
1.95,0.003932
1.96,0.0039286
1.97,0.0039263
1.98,0.0039247
1.99,0.0039281
2,0.0039313
0.03,0.0034534
0.21,0.0035031
0.22,0.003535
0.23,0.0035664
0.24,0.0035951
0.25,0.003619
0.26,0.003635
0.27,0.0036481
0.28,0.0036645
0.29,0.0036741
0.3,0.0036908
0.04,0.003224
0.31,0.0037025
0.32,0.0037191
0.33,0.0037323
0.34,0.00375
0.35,0.0037532
0.36,0.00376
0.37,0.0037713
0.38,0.0037861
0.39,0.0038036
0.4,0.0038232
0.05,0.0030899
0.41,0.0038441
0.42,0.0038655
0.43,0.003887
0.44,0.0039077
0.45,0.0039176
0.46,0.0039114
0.47,0.0039054
0.48,0.0038998
0.49,0.0038948
0.5,0.0038898
0.06,0.0030298
0.51,0.0038845
0.52,0.00388
0.53,0.0038769
0.54,0.0038755
0.55,0.0038759
0.56,0.0038781
0.57,0.0038821
0.58,0.0038876
0.59,0.0038945
0.6,0.0039027
0.07,0.0030264
0.61,0.0039119
0.62,0.0039221
0.63,0.0039313
0.64,0.0039308
0.65,0.0039304
0.66,0.0039298
0.67,0.0039296
0.68,0.0039312
0.69,0.0039374
0.7,0.0039332
0.08,0.0030647
0.71,0.0039282
0.72,0.0039242
0.73,0.0039212
0.74,0.0039182
0.75,0.003916
0.76,0.0039142
0.77,0.0039134
0.78,0.0039133
0.79,0.0039141
0.8,0.003916
0.09,0.0031212
0.81,0.003919
0.82,0.0039227
0.83,0.0039275
0.84,0.0039331
0.85,0.003932
0.86,0.0039316
0.87,0.003934
0.88,0.0039351
0.89,0.0039339
0.9,0.0039305
0.1,0.0031747
0.91,0.0039316
0.92,0.003934
0.93,0.0039358
0.94,0.0039358
0.95,0.0039334
0.96,0.0039315
0.97,0.003932
0.98,0.0039367
0.99,0.0039401
1,0.0039367
