Time,"Minimum"
0.01,0.0040015
0.02,0.0037016
0.11,0.0033167
1.01,0.0039251
1.02,0.0039243
1.03,0.0039254
1.04,0.0039256
1.05,0.0039254
1.06,0.0039256
1.07,0.003926
1.08,0.0039257
1.09,0.0039208
1.1,0.0039162
0.12,0.0034362
1.11,0.0039135
1.12,0.0039182
1.13,0.0039153
1.14,0.0039123
1.15,0.0039121
1.16,0.0039136
1.17,0.0039135
1.18,0.0039114
1.19,0.003912
1.2,0.0039131
0.13,0.0035179
1.21,0.0039137
1.22,0.0039136
1.23,0.0039132
1.24,0.0039132
1.25,0.0039133
1.26,0.0039135
1.27,0.0039137
1.28,0.0039138
1.29,0.003914
1.3,0.0039129
0.14,0.0034228
1.31,0.0039117
1.32,0.0039131
1.33,0.0039141
1.34,0.0039164
1.35,0.0039172
1.36,0.0039171
1.37,0.0039168
1.38,0.0039161
1.39,0.003916
1.4,0.0039149
0.15,0.0033844
1.41,0.0039129
1.42,0.003913
1.43,0.0039146
1.44,0.0039146
1.45,0.0039155
1.46,0.0039164
1.47,0.0039164
1.48,0.0039162
1.49,0.0039158
1.5,0.003916
0.16,0.0033961
1.51,0.0039168
1.52,0.0039183
1.53,0.0039175
1.54,0.0039172
1.55,0.003916
1.56,0.0039153
1.57,0.0039156
1.58,0.0039147
1.59,0.0039147
1.6,0.0039147
0.17,0.003406
1.61,0.003917
1.62,0.0039179
1.63,0.0039171
1.64,0.0039179
1.65,0.0039188
1.66,0.0039204
1.67,0.0039203
1.68,0.0039178
1.69,0.0039169
1.7,0.0039152
0.18,0.0034253
1.71,0.003915
1.72,0.0039151
1.73,0.0039182
1.74,0.0039166
1.75,0.0039155
1.76,0.0039164
1.77,0.0039174
1.78,0.0039164
1.79,0.003916
1.8,0.0039151
0.19,0.0034665
1.81,0.0039127
1.82,0.0039126
1.83,0.0039133
1.84,0.0039164
1.85,0.0039173
1.86,0.0039157
1.87,0.0039159
1.88,0.0039161
1.89,0.0039144
1.9,0.0039167
0.2,0.00349
1.91,0.0039182
1.92,0.0039172
1.93,0.0039151
1.94,0.0039131
1.95,0.0039123
1.96,0.0039123
1.97,0.0039146
1.98,0.0039142
1.99,0.0039143
2,0.0039141
0.03,0.0034582
0.21,0.0035173
0.22,0.0035449
0.23,0.0035731
0.24,0.0036005
0.25,0.0036202
0.26,0.0036376
0.27,0.0036543
0.28,0.0036641
0.29,0.003674
0.3,0.0036854
0.04,0.0032302
0.31,0.0036983
0.32,0.0037113
0.33,0.0037246
0.34,0.0037389
0.35,0.0037554
0.36,0.0037701
0.37,0.003788
0.38,0.0038039
0.39,0.0038204
0.4,0.0038384
0.05,0.003099
0.41,0.0038526
0.42,0.0038657
0.43,0.003876
0.44,0.0038829
0.45,0.0038892
0.46,0.0038983
0.47,0.0039098
0.48,0.0039174
0.49,0.0039109
0.5,0.0039029
0.06,0.0030407
0.51,0.0038953
0.52,0.0038884
0.53,0.0038827
0.54,0.0038784
0.55,0.0038758
0.56,0.0038748
0.57,0.0038755
0.58,0.0038779
0.59,0.0038819
0.6,0.0038875
0.07,0.0030396
0.61,0.0038947
0.62,0.0039031
0.63,0.0039123
0.64,0.003922
0.65,0.0039225
0.66,0.0039252
0.67,0.0039348
0.68,0.0039383
0.69,0.0039387
0.7,0.0039269
0.08,0.0030814
0.71,0.0039202
0.72,0.0039253
0.73,0.0039288
0.74,0.0039275
0.75,0.0039251
0.76,0.0039204
0.77,0.0039157
0.78,0.0039225
0.79,0.0039233
0.8,0.0039251
0.09,0.0031463
0.81,0.0039276
0.82,0.0039243
0.83,0.003925
0.84,0.0039255
0.85,0.0039266
0.86,0.0039268
0.87,0.0039282
0.88,0.0039314
0.89,0.0039322
0.9,0.0039308
0.1,0.0032186
0.91,0.0039273
0.92,0.0039232
0.93,0.0039206
0.94,0.003921
0.95,0.0039214
0.96,0.0039213
0.97,0.00392
0.98,0.0039211
0.99,0.0039239
1,0.0039264
