Time,"Minimum"
0.01,0.0040093
0.02,0.0038282
0.11,0.0033121
0.12,0.0032567
0.13,0.003242
0.14,0.0032652
0.15,0.0033159
0.16,0.0033827
0.17,0.0034535
0.18,0.0035298
0.19,0.0035948
0.2,0.0036273
0.03,0.0036933
0.21,0.0036293
0.22,0.0036363
0.23,0.0036489
0.24,0.0036639
0.25,0.0036507
0.26,0.003651
0.27,0.003664
0.28,0.0036815
0.29,0.0036971
0.3,0.0037152
0.04,0.0035847
0.31,0.0037317
0.32,0.0037452
0.33,0.0037615
0.34,0.0037735
0.35,0.0037885
0.36,0.0038004
0.37,0.003819
0.38,0.0038313
0.39,0.0038436
0.4,0.003858
0.05,0.0035154
0.41,0.0038765
0.42,0.0038938
0.43,0.003906
0.44,0.0039198
0.45,0.0039238
0.46,0.0039271
0.47,0.0039306
0.48,0.0039288
0.49,0.0039272
0.5,0.0039256
0.06,0.0034857
0.51,0.0039246
0.52,0.0039238
0.53,0.0039233
0.54,0.0039234
0.55,0.0039235
0.56,0.0039237
0.57,0.003923
0.58,0.0039194
0.59,0.0039168
0.6,0.0039155
0.07,0.0034817
0.61,0.0039154
0.62,0.003916
0.63,0.0039175
0.64,0.003918
0.65,0.0039207
0.66,0.0039259
0.67,0.0039304
0.68,0.0039341
0.69,0.0039339
0.7,0.0039338
0.08,0.0034923
0.71,0.0039328
0.72,0.0039319
0.73,0.0039311
0.74,0.0039293
0.75,0.0039276
0.76,0.0039216
0.77,0.0039196
0.78,0.0039182
0.79,0.0039158
0.8,0.0039169
0.09,0.0035139
0.81,0.0039173
0.82,0.0039185
0.83,0.0039187
0.84,0.0039183
0.85,0.0039174
0.86,0.0039192
0.87,0.0039193
0.88,0.0039198
0.89,0.0039196
0.9,0.0039211
0.1,0.0034115
0.91,0.0039216
0.92,0.0039241
0.93,0.0039256
0.94,0.0039259
0.95,0.0039276
0.96,0.0039287
0.97,0.0039298
0.98,0.0039306
0.99,0.0039311
1,0.0039331
