Time,"Minimum"
0.01,0.0040207
0.02,0.0039455
0.11,0.0038237
0.12,0.0038373
0.13,0.0038503
0.14,0.0038602
0.15,0.0038665
0.16,0.0038712
0.17,0.003875
0.18,0.0038783
0.19,0.003884
0.2,0.0038924
0.03,0.0038967
0.21,0.003903
0.22,0.0039153
0.23,0.003928
0.24,0.0039406
0.25,0.0039517
0.26,0.0039567
0.27,0.0039485
0.28,0.0039406
0.29,0.0039342
0.3,0.0039299
0.04,0.0038592
0.31,0.0039276
0.32,0.0039273
0.33,0.0039287
0.34,0.0039314
0.35,0.0039336
0.36,0.0039372
0.37,0.0039419
0.38,0.0039478
0.39,0.0039547
0.4,0.0039615
0.05,0.0038334
0.41,0.0039668
0.42,0.0039697
0.43,0.0039707
0.44,0.0039726
0.45,0.0039753
0.46,0.0039764
0.47,0.0039778
0.48,0.003978
0.49,0.003979
0.5,0.0039804
0.06,0.0038131
0.51,0.0039809
0.52,0.003982
0.53,0.0039823
0.54,0.0039834
0.55,0.0039842
0.56,0.0039852
0.57,0.0039862
0.58,0.0039872
0.59,0.0039886
0.6,0.0039896
0.07,0.0038013
0.61,0.0039908
0.62,0.0039915
0.63,0.0039921
0.64,0.0039927
0.65,0.0039935
0.66,0.003994
0.67,0.0039949
0.68,0.0039955
0.69,0.0039963
0.7,0.0039968
0.08,0.0037978
0.71,0.0039974
0.72,0.0039977
0.73,0.003998
0.74,0.0039978
0.75,0.0039972
0.76,0.0039961
0.77,0.0039949
0.78,0.0039935
0.79,0.0039923
0.8,0.0039915
0.09,0.0038017
0.81,0.0039911
0.82,0.003991
0.83,0.0039913
0.84,0.0039918
0.85,0.0039928
0.86,0.0039941
0.87,0.0039956
0.88,0.0039966
0.89,0.0039979
0.9,0.0039994
0.1,0.0038111
0.91,0.004001
0.92,0.0040027
0.93,0.0040046
0.94,0.0040066
0.95,0.0040086
0.96,0.0040107
0.97,0.0040127
0.98,0.0040149
0.99,0.004017
1,0.0040185
