Time,"Minimum"
0.01,0.0040008
0.02,0.0036847
0.11,0.003227
1.01,0.0039079
1.02,0.0039045
1.03,0.0039001
1.04,0.0038955
1.05,0.0038912
1.06,0.003887
1.07,0.0038828
1.08,0.0038774
1.09,0.0038705
1.1,0.0038634
0.12,0.0033351
1.11,0.003857
1.12,0.0038515
1.13,0.0038467
1.14,0.0038427
1.15,0.0038394
1.16,0.0038366
1.17,0.0038345
1.18,0.003833
1.19,0.003832
1.2,0.0038316
0.13,0.0034337
1.21,0.0038317
1.22,0.0038321
1.23,0.0038329
1.24,0.003834
1.25,0.0038355
1.26,0.0038372
1.27,0.0038392
1.28,0.0038414
1.29,0.0038438
1.3,0.0038465
0.14,0.00331
1.31,0.0038494
1.32,0.0038525
1.33,0.0038557
1.34,0.0038591
1.35,0.0038626
1.36,0.003866
1.37,0.003869
1.38,0.003872
1.39,0.0038749
1.4,0.0038776
0.15,0.0032322
1.41,0.0038797
1.42,0.0038818
1.43,0.0038841
1.44,0.0038863
1.45,0.0038873
1.46,0.003888
1.47,0.0038885
1.48,0.003889
1.49,0.0038893
1.5,0.0038897
0.16,0.0032027
1.51,0.00389
1.52,0.0038903
1.53,0.0038907
1.54,0.0038912
1.55,0.0038916
1.56,0.0038921
1.57,0.0038925
1.58,0.0038929
1.59,0.0038933
1.6,0.0038935
0.17,0.0032204
1.61,0.0038914
1.62,0.0038894
1.63,0.0038875
1.64,0.0038849
1.65,0.0038822
1.66,0.0038795
1.67,0.0038767
1.68,0.0038739
1.69,0.0038712
1.7,0.0038686
0.18,0.0032788
1.71,0.0038661
1.72,0.0038638
1.73,0.0038617
1.74,0.0038598
1.75,0.0038581
1.76,0.0038567
1.77,0.0038555
1.78,0.0038545
1.79,0.0038537
1.8,0.0038529
0.19,0.0033708
1.81,0.0038523
1.82,0.0038517
1.83,0.0038511
1.84,0.0038506
1.85,0.0038501
1.86,0.0038497
1.87,0.0038492
1.88,0.0038487
1.89,0.0038482
1.9,0.0038478
0.2,0.0034285
1.91,0.0038473
1.92,0.0038469
1.93,0.0038465
1.94,0.0038463
1.95,0.0038462
1.96,0.0038461
1.97,0.0038461
1.98,0.0038461
1.99,0.0038463
2,0.0038465
0.03,0.0034174
0.21,0.0034714
0.22,0.003499
0.23,0.0035418
0.24,0.0035904
0.25,0.0036127
0.26,0.0036195
0.27,0.0036305
0.28,0.0036402
0.29,0.0036544
0.3,0.0036679
0.04,0.0031749
0.31,0.0036844
0.32,0.0037005
0.33,0.0037196
0.34,0.0037376
0.35,0.0037573
0.36,0.0037781
0.37,0.0037984
0.38,0.0038187
0.39,0.0038347
0.4,0.003849
0.05,0.0030383
0.41,0.0038628
0.42,0.0038761
0.43,0.0038849
0.44,0.0038794
0.45,0.0038738
0.46,0.0038685
0.47,0.0038643
0.48,0.0038605
0.49,0.0038581
0.5,0.0038565
0.06,0.0029843
0.51,0.0038559
0.52,0.0038564
0.53,0.0038581
0.54,0.0038608
0.55,0.0038655
0.56,0.0038667
0.57,0.0038692
0.58,0.0038733
0.59,0.0038789
0.6,0.003886
0.07,0.0029921
0.61,0.0038942
0.62,0.0039033
0.63,0.003911
0.64,0.0039092
0.65,0.0039083
0.66,0.0039082
0.67,0.0039087
0.68,0.0039096
0.69,0.0039104
0.7,0.0039116
0.08,0.0030474
0.71,0.0039133
0.72,0.0039155
0.73,0.003917
0.74,0.0039159
0.75,0.003915
0.76,0.0039141
0.77,0.0039142
0.78,0.0039147
0.79,0.0039161
0.8,0.0039184
0.09,0.0031076
0.81,0.0039213
0.82,0.0039205
0.83,0.0039191
0.84,0.0039224
0.85,0.0039242
0.86,0.0039229
0.87,0.0039225
0.88,0.003921
0.89,0.0039179
0.9,0.0039163
0.1,0.0031517
0.91,0.003915
0.92,0.0039145
0.93,0.0039147
0.94,0.003915
0.95,0.0039152
0.96,0.0039149
0.97,0.0039134
0.98,0.0039108
0.99,0.0039087
1,0.003908
