Time,"Minimum"
0.01,0.0040077
0.02,0.0037545
0.11,0.0031438
1.01,0.0039298
1.02,0.0039285
1.03,0.0039274
1.04,0.0039255
1.05,0.0039253
1.06,0.0039253
1.07,0.0039246
1.08,0.0039289
1.09,0.0039297
1.1,0.0039287
0.12,0.0032641
1.11,0.0039291
1.12,0.0039214
1.13,0.0039192
1.14,0.0039199
1.15,0.0039199
1.16,0.0039175
1.17,0.0039168
1.18,0.0039177
1.19,0.0039203
1.2,0.0039202
0.13,0.0033678
1.21,0.00392
1.22,0.0039239
1.23,0.0039268
1.24,0.003925
1.25,0.0039241
1.26,0.0039235
1.27,0.0039202
1.28,0.0039201
1.29,0.0039186
1.3,0.0039162
0.14,0.0033821
1.31,0.0039166
1.32,0.0039165
1.33,0.0039178
1.34,0.0039176
1.35,0.0039194
1.36,0.0039195
1.37,0.0039195
1.38,0.0039211
1.39,0.0039218
1.4,0.0039208
0.15,0.0033234
1.41,0.0039221
1.42,0.0039231
1.43,0.0039239
1.44,0.0039243
1.45,0.0039235
1.46,0.0039239
1.47,0.0039246
1.48,0.003925
1.49,0.0039256
1.5,0.0039259
0.16,0.0032962
1.51,0.003926
1.52,0.003926
1.53,0.0039264
1.54,0.0039264
1.55,0.0039263
1.56,0.0039265
1.57,0.0039266
1.58,0.0039265
1.59,0.0039263
1.6,0.0039264
0.17,0.0033155
1.61,0.0039263
1.62,0.003926
1.63,0.003926
1.64,0.003926
1.65,0.0039258
1.66,0.0039257
1.67,0.0039258
1.68,0.0039254
1.69,0.0039236
1.7,0.003922
0.18,0.0033637
1.71,0.0039212
1.72,0.0039211
1.73,0.0039224
1.74,0.0039229
1.75,0.0039222
1.76,0.0039206
1.77,0.0039207
1.78,0.0039201
1.79,0.0039202
1.8,0.0039201
0.19,0.0034404
1.81,0.0039195
1.82,0.0039188
1.83,0.0039191
1.84,0.0039181
1.85,0.0039174
1.86,0.0039181
1.87,0.0039188
1.88,0.0039202
1.89,0.0039224
1.9,0.0039241
0.2,0.0034601
1.91,0.0039255
1.92,0.0039269
1.93,0.0039282
1.94,0.0039272
1.95,0.0039251
1.96,0.0039252
1.97,0.0039254
1.98,0.0039253
1.99,0.0039255
2,0.0039257
0.03,0.0035261
0.21,0.0034948
0.22,0.0035411
0.23,0.0035839
0.24,0.0036175
0.25,0.0036454
0.26,0.0036576
0.27,0.0036342
0.28,0.0036283
0.29,0.0036368
0.3,0.0036547
0.04,0.0032873
0.31,0.0036785
0.32,0.0037011
0.33,0.0036962
0.34,0.0036922
0.35,0.0037037
0.36,0.0037173
0.37,0.0037357
0.38,0.0037585
0.39,0.0037833
0.4,0.0038083
0.05,0.0031138
0.41,0.0038294
0.42,0.0038389
0.43,0.0038493
0.44,0.0038597
0.45,0.0038675
0.46,0.0038774
0.47,0.0038867
0.48,0.0038832
0.49,0.0038787
0.5,0.0038752
0.06,0.0029994
0.51,0.0038726
0.52,0.0038708
0.53,0.0038705
0.54,0.0038677
0.55,0.0038649
0.56,0.0038639
0.57,0.003865
0.58,0.0038678
0.59,0.0038723
0.6,0.0038782
0.07,0.0029315
0.61,0.0038853
0.62,0.0038935
0.63,0.0039024
0.64,0.003912
0.65,0.0039221
0.66,0.0039214
0.67,0.0039205
0.68,0.0039193
0.69,0.0039184
0.7,0.0039177
0.08,0.0029204
0.71,0.0039173
0.72,0.0039166
0.73,0.0039159
0.74,0.0039154
0.75,0.0039153
0.76,0.0039131
0.77,0.0039142
0.78,0.0039153
0.79,0.0039167
0.8,0.0039177
0.09,0.0029621
0.81,0.0039179
0.82,0.0039169
0.83,0.0039184
0.84,0.003921
0.85,0.0039242
0.86,0.0039258
0.87,0.0039271
0.88,0.0039285
0.89,0.0039298
0.9,0.0039321
0.1,0.003041
0.91,0.0039329
0.92,0.0039338
0.93,0.0039341
0.94,0.003933
0.95,0.0039335
0.96,0.0039333
0.97,0.0039322
0.98,0.0039332
0.99,0.0039333
1,0.003931
