Time,"Minimum"
0.01,0.0040271
0.02,0.0040014
0.11,0.0039668
0.12,0.0039699
0.13,0.003973
0.14,0.0039762
0.15,0.0039795
0.16,0.0039825
0.17,0.0039856
0.18,0.0039887
0.19,0.0039915
0.2,0.0039945
0.03,0.0039852
0.21,0.003997
0.22,0.0039993
0.23,0.0040009
0.24,0.0040021
0.25,0.0040035
0.26,0.0040051
0.27,0.004007
0.28,0.0040092
0.29,0.0040114
0.3,0.0040133
0.04,0.0039736
0.31,0.0040141
0.32,0.0040149
0.33,0.0040156
0.34,0.0040161
0.35,0.0040166
0.36,0.004017
0.37,0.0040172
0.38,0.0040174
0.39,0.0040175
0.4,0.0040174
0.05,0.0039663
0.41,0.0040175
0.42,0.0040176
0.43,0.0040175
0.44,0.0040175
0.45,0.0040174
0.46,0.0040173
0.47,0.0040173
0.48,0.0040171
0.49,0.004017
0.5,0.0040169
0.06,0.0039628
0.51,0.0040167
0.52,0.0040167
0.53,0.0040165
0.54,0.0040164
0.55,0.0040163
0.56,0.0040161
0.57,0.004016
0.58,0.0040159
0.59,0.0040158
0.6,0.0040156
0.07,0.0039607
0.61,0.0040155
0.62,0.0040153
0.63,0.0040152
0.64,0.0040151
0.65,0.004015
0.66,0.0040149
0.67,0.0040148
0.68,0.0040148
0.69,0.0040147
0.7,0.0040148
0.08,0.0039604
0.71,0.0040149
0.72,0.0040151
0.73,0.0040154
0.74,0.0040157
0.75,0.0040162
0.76,0.0040167
0.77,0.0040173
0.78,0.0040179
0.79,0.0040186
0.8,0.0040194
0.09,0.0039617
0.81,0.0040202
0.82,0.004021
0.83,0.0040218
0.84,0.0040227
0.85,0.0040235
0.86,0.004024
0.87,0.0040241
0.88,0.0040241
0.89,0.0040242
0.9,0.0040242
0.1,0.003964
0.91,0.0040242
0.92,0.0040242
0.93,0.0040242
0.94,0.0040243
0.95,0.0040244
0.96,0.0040244
0.97,0.0040246
0.98,0.0040247
0.99,0.0040249
1,0.004025
